Orthogroup	Species	PLAZA_proteome.selected_transcript.ppe	Orthologs
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G157500.1	ONI22892
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.7G029100.1	ONH94771
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.4G254700.1	ONI13961
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G089500.1	ONI21794
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G036300.1	ONI26633
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G185000.1	ONI29170
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.7G055100.1	ONH95177
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G310400.1	ONI31400
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.7G057400.1	ONH95211
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.5G051700.1	ONI06297
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G045600.1	ONI21019
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G397800.1	ONI32988
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.6G180100.1	ONI02149
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.4G253500.1	ONI13897
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G094600.1	ONI21863
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G155700.1	ONI22867
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G199400.1	ONI29458
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G090400.1	ONI21810
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G184100.1	ONI29159
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.3G119600.1	ONI16751
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.3G118800.1	ONI16743
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.7G033400.1	ONH94828
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G237300.1	ONI30200
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.7G036200.1	ONH94863
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.6G200000.1	ONI29457, ONI02465
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.8G059300.1	ONH90524
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.3G103000.1	ONI16508
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.5G023300.1	ONI05761
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G088700.1	ONI21781
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G055100.1	ONI26922
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G192500.1	ONI29310
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.6G137200.1	ONI01393
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.8G059600.1	ONH90529
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G201000.1	ONI29522
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.4G261200.2	ONI14089, ONI14091, ONI14088, ONI14090
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.4G092400.1	ONI11204
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.3G106000.1	ONI16552
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.3G113900.1	ONI16664
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.5G062900.1	ONI06474
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G183700.1	ONI29155
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G193900.1	ONI29342
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G174000.1	ONI28988
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.3G107500.1	ONI16575
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G130900.1	ONI28204
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.4G254500.1	ONI13958
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.5G040600.1	ONI06104
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G204500.1	ONI29602
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.5G062800.1	ONI06473
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.4G253400.1	ONI13896
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.3G129900.1	ONI16920
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.6G125300.1	ONI01163
OG0000000	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.8G058300.1	ONH90513
OG0000003	OrthoDB_Prunus_persica_Lovell	Prupe.8G054400.1	3760_0_00000a, 3760_0_001942, 3760_0_002b7d, 3760_0_00194b, 3760_0_004156, 3760_0_002af0, 3760_0_0034ab, 3760_0_001673, 3760_0_001530, 3760_0_002d46, 3760_0_003df6, 3760_0_00074f, 3760_0_001a15, 3760_0_001128, 3760_0_004349, 3760_0_003006, 3760_0_0015fc, 3760_0_001eed, 3760_0_002228, 3760_0_0030e6, 3760_0_0038c7, 3760_0_004c53, 3760_0_005415, 3760_0_0019db, 3760_0_003187, 3760_0_001679, 3760_0_001b8e, 3760_0_0000ac, 3760_0_003dd1, 3760_0_000421, 3760_0_003347, 3760_0_002b95, 3760_0_002893, 3760_0_005044, 3760_0_000672, 3760_0_001fef, 3760_0_00447a, 3760_0_001ace, 3760_0_00536a, 3760_0_001292, 3760_0_001c75, 3760_0_001720, 3760_0_000a2c, 3760_0_001644, 3760_0_0032a8, 3760_0_001b00, 3760_0_004931, 3760_0_0018fc, 3760_0_003a3a, 3760_0_004158, 3760_0_0029aa, 3760_0_000a2a, 3760_0_002a7d, 3760_0_0016ff, 3760_0_004118, 3760_0_00248e, 3760_0_000118, 3760_0_0012e3, 3760_0_00156c, 3760_0_0017df, 3760_0_0029d8, 3760_0_001423, 3760_0_001a59, 3760_0_002e8a, 3760_0_000535, 3760_0_002a17, 3760_0_004e09, 3760_0_00291c, 3760_0_002c24, 3760_0_00301b, 3760_0_004634, 3760_0_004af0, 3760_0_002bf0, 3760_0_001afc, 3760_0_0034d3, 3760_0_0044e9, 3760_0_001962, 3760_0_0030e8, 3760_0_003c9c, 3760_0_000950, 3760_0_000e7a, 3760_0_00190d, 3760_0_000edc, 3760_0_002a5b, 3760_0_004702, 3760_0_00446c, 3760_0_005237
OG0000003	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.8G054400.1	ONH90444
OG0000007	OrthoDB_Prunus_persica_Lovell	Prupe.6G164100.1	3760_0_0001ee, 3760_0_00419e, 3760_0_003179, 3760_0_001880, 3760_0_001c58, 3760_0_001ea5, 3760_0_000821, 3760_0_001cb4, 3760_0_002974, 3760_0_001313, 3760_0_002b9d, 3760_0_002981, 3760_0_0055e7, 3760_0_002e5e, 3760_0_004be1, 3760_0_0044e5, 3760_0_003cb5, 3760_0_001f5a, 3760_0_002319, 3760_0_004590, 3760_0_002f8f, 3760_0_00200f, 3760_0_005553, 3760_0_00426c, 3760_0_002d37, 3760_0_004b4c, 3760_0_005569, 3760_0_001127, 3760_0_005724, 3760_0_00220f, 3760_0_004263, 3760_0_00198b, 3760_0_00229b, 3760_0_00053a, 3760_0_001009, 3760_0_003cdf, 3760_0_0040ee, 3760_0_005424, 3760_0_000d92, 3760_0_00302c, 3760_0_00596f, 3760_0_0039c1, 3760_0_0059b7, 3760_0_000781, 3760_0_000ba0, 3760_0_0030db, 3760_0_002b83, 3760_0_0052fe, 3760_0_0059b8, 3760_0_0043b6, 3760_0_004f55, 3760_0_000c56, 3760_0_00157b, 3760_0_000be8, 3760_0_00542b, 3760_0_000ec5, 3760_0_002e84, 3760_0_0024e2, 3760_0_00311e, 3760_0_003bb7, 3760_0_004cdc, 3760_0_0012a2, 3760_0_005049, 3760_0_0053aa, 3760_0_00077e, 3760_0_0016f0, 3760_0_003986, 3760_0_004db8
OG0000007	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.6G164100.1	ONI01877
OG0000009	OrthoDB_Prunus_persica_Lovell	Prupe.7G018900.1	3760_0_000031, 3760_0_002f85, 3760_0_005812, 3760_0_005712, 3760_0_002cb6, 3760_0_003bdc, 3760_0_0057ef, 3760_0_004bd6, 3760_0_001294, 3760_0_0047bc, 3760_0_0026eb, 3760_0_00332a, 3760_0_00320e, 3760_0_003a11, 3760_0_0047a6, 3760_0_00057a, 3760_0_00480c, 3760_0_0012c8, 3760_0_0032a1, 3760_0_003d29, 3760_0_002ab6, 3760_0_001647, 3760_0_00220d, 3760_0_003cdc, 3760_0_000173, 3760_0_001df5, 3760_0_004c9b, 3760_0_005152, 3760_0_004c20, 3760_0_005902, 3760_0_004470, 3760_0_0020a5, 3760_0_004d01, 3760_0_0054c2, 3760_0_002ddb, 3760_0_0052f2, 3760_0_005989, 3760_0_002e28, 3760_0_0043ab, 3760_0_00598a, 3760_0_004278, 3760_0_002875, 3760_0_00361d, 3760_0_002617, 3760_0_000885, 3760_0_00313f, 3760_0_0039d9, 3760_0_004dd0, 3760_0_004729, 3760_0_00562e, 3760_0_0017a7, 3760_0_0054f2, 3760_0_005988, 3760_0_002735, 3760_0_0032be, 3760_0_00566b, 3760_0_002f9d, 3760_0_0036ec, 3760_0_000bcb, 3760_0_002a50, 3760_0_002c41, 3760_0_004034, 3760_0_0047cd, 3760_0_002dba
OG0000009	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.7G018900.1	ONH94494
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G197900.2	ONI23605
OG0000011	OrthoDB_Prunus_persica_Lovell	Prupe.2G197900.2	3760_0_001539
OG0000011	OrthoDB_Prunus_persica_Lovell	Prupe.6G019000.1	3760_0_003d9b
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.6G019000.1	ONH99226
OG0000011	OrthoDB_Prunus_persica_Lovell	Prupe.6G145100.1	3760_0_003b49
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.6G145100.1	ONI01538
OG0000011	OrthoDB_Prunus_persica_Lovell	Prupe.6G019100.1	3760_0_004571
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.6G019100.1	ONH99228
OG0000011	OrthoDB_Prunus_persica_Lovell	Prupe.6G088200.1	3760_0_003c22
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.6G088200.1	ONI00425
OG0000011	OrthoDB_Prunus_persica_Lovell	Prupe.6G136100.1	3760_0_004597
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.6G136100.1	ONI01377
OG0000011	OrthoDB_Prunus_persica_Lovell	Prupe.6G136700.1	3760_0_003f7c
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.6G136700.1	ONI01384
OG0000011	OrthoDB_Prunus_persica_Lovell	Prupe.I005900.1	3760_0_0059b3, 3760_0_003f1c
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.I005900.1	ONH89477
OG0000011	OrthoDB_Prunus_persica_Lovell	Prupe.6G136400.1	3760_0_004435
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.6G136400.1	ONI01381
OG0000011	OrthoDB_Prunus_persica_Lovell	Prupe.6G136300.1	3760_0_00447c, 3760_0_00435a
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.6G136300.1	ONI01380
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.7G083600.1	ONH95664
OG0000011	OrthoDB_Prunus_persica_Lovell	Prupe.7G083600.1	3760_0_0048e4
OG0000011	OrthoDB_Prunus_persica_Lovell	Prupe.7G083700.1	3760_0_00500b, 3760_0_004fe9
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.7G083700.1	ONH95665, ONH95666
OG0000011	OrthoDB_Prunus_persica_Lovell	Prupe.2G198100.1	3760_0_001a7b
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G198100.1	ONI23608
OG0000011	OrthoDB_Prunus_persica_Lovell	Prupe.2G198000.1	3760_0_0019da
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G198000.1	ONI23606
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G198400.1	ONI23611
OG0000011	OrthoDB_Prunus_persica_Lovell	Prupe.2G198400.1	3760_0_00171d
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G198200.1	ONI23609
OG0000011	OrthoDB_Prunus_persica_Lovell	Prupe.2G198300.1	3760_0_00164c, 3760_0_001e47
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G198300.1	ONI23610
OG0000012	OrthoDB_Prunus_persica_Lovell	Prupe.1G053200.1	3760_0_0003b6
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G053200.1	ONI26888
OG0000012	OrthoDB_Prunus_persica_Lovell	Prupe.3G189100.1	3760_0_002736
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.3G189100.1	ONI17972
OG0000012	OrthoDB_Prunus_persica_Lovell	Prupe.3G189300.1	3760_0_002095
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.3G189300.1	ONI17974
OG0000012	OrthoDB_Prunus_persica_Lovell	Prupe.4G236600.1	3760_0_002e05
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.4G236600.1	ONI13671
OG0000012	OrthoDB_Prunus_persica_Lovell	Prupe.4G237000.1	3760_0_002f5d
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.4G237000.1	ONI13672
OG0000012	OrthoDB_Prunus_persica_Lovell	Prupe.4G236700.1	3760_0_002e8e
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.4G236700.1	ONI13675
OG0000012	OrthoDB_Prunus_persica_Lovell	Prupe.3G188600.1	3760_0_00248a
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.3G188600.1	ONI17967
OG0000012	OrthoDB_Prunus_persica_Lovell	Prupe.3G188500.1	3760_0_0023ae
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.3G188500.1	ONI17966
OG0000012	OrthoDB_Prunus_persica_Lovell	Prupe.3G189500.1	3760_0_002535, 3760_0_002394
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.3G189500.1	ONI17979
OG0000012	OrthoDB_Prunus_persica_Lovell	Prupe.3G190300.1	3760_0_00208a
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.3G190300.1	ONI17987
OG0000012	OrthoDB_Prunus_persica_Lovell	Prupe.3G188400.1	3760_0_00276f
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.3G188400.1	ONI17965
OG0000012	OrthoDB_Prunus_persica_Lovell	Prupe.3G189700.1	3760_0_002648
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.3G189700.1	ONI17981
OG0000012	OrthoDB_Prunus_persica_Lovell	Prupe.3G189600.1	3760_0_00232d
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.3G189600.1	ONI17980
OG0000012	OrthoDB_Prunus_persica_Lovell	Prupe.1G053300.1	3760_0_0002cb
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G053300.1	ONI26889
OG0000012	OrthoDB_Prunus_persica_Lovell	Prupe.1G053400.1	3760_0_0006c3
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G053400.1	ONI26890
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G053500.1	ONI26891
OG0000012	OrthoDB_Prunus_persica_Lovell	Prupe.1G055800.1, Prupe.1G053100.1	3760_0_000248
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G055800.1	ONI26929
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G053100.1	ONI26887
OG0000013	OrthoDB_Prunus_persica_Lovell	Prupe.5G115000.2	3760_0_000133, 3760_0_004ccf, 3760_0_002188, 3760_0_004e98, 3760_0_002634, 3760_0_003ffe, 3760_0_0006d3, 3760_0_0024a2, 3760_0_005762, 3760_0_0051ae, 3760_0_001545, 3760_0_0023c2, 3760_0_002827, 3760_0_0055bc, 3760_0_0033d3, 3760_0_005099, 3760_0_005167, 3760_0_000635, 3760_0_003822, 3760_0_001534, 3760_0_005980, 3760_0_00192c, 3760_0_0056b1, 3760_0_0054bc, 3760_0_003510, 3760_0_00531d, 3760_0_0045a8, 3760_0_00598f, 3760_0_0014b3, 3760_0_000241, 3760_0_000918, 3760_0_002ba9, 3760_0_0011e5, 3760_0_002128, 3760_0_00105c, 3760_0_002b18, 3760_0_003bad, 3760_0_001398, 3760_0_003e23, 3760_0_00530e, 3760_0_0007fe, 3760_0_002a81, 3760_0_001282, 3760_0_0043ea, 3760_0_00134e, 3760_0_001a6f, 3760_0_000ac9, 3760_0_0051f6, 3760_0_002297, 3760_0_004d09, 3760_0_003b1c
OG0000013	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.5G115000.2	ONI07355
OG0000014	OrthoDB_Prunus_persica_Lovell	Prupe.2G043200.1	3760_0_0018c4
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G043200.1	ONI20966
OG0000014	OrthoDB_Prunus_persica_Lovell	Prupe.2G046300.1	3760_0_0019cf
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G046300.1	ONI21029
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G037800.2	ONI20867
OG0000014	OrthoDB_Prunus_persica_Lovell	Prupe.2G037800.2	3760_0_0018e6
OG0000014	OrthoDB_Prunus_persica_Lovell	Prupe.2G052200.1	3760_0_00150a, 3760_0_00186e
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G052200.1	ONI21193
OG0000014	OrthoDB_Prunus_persica_Lovell	Prupe.2G040500.1	3760_0_001ccc
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G040500.1	ONI20914
OG0000014	OrthoDB_Prunus_persica_Lovell	Prupe.2G040700.1	3760_0_001c1c
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G040700.1	ONI20916
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G053600.1	ONI21221
OG0000014	OrthoDB_Prunus_persica_Lovell	Prupe.2G053600.1	3760_0_00166d
OG0000014	OrthoDB_Prunus_persica_Lovell	Prupe.2G051100.1	3760_0_0017c5
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G051100.1	ONI21160
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G054000.1	ONI21228
OG0000014	OrthoDB_Prunus_persica_Lovell	Prupe.2G054000.1	3760_0_0015ce
OG0000014	OrthoDB_Prunus_persica_Lovell	Prupe.2G053800.1	3760_0_00171e
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G053800.1	ONI21226
OG0000014	OrthoDB_Prunus_persica_Lovell	Prupe.2G053700.1	3760_0_00163c, 3760_0_001c1d, 3760_0_0059c2
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G053700.1	ONI21225
OG0000014	OrthoDB_Prunus_persica_Lovell	Prupe.2G054300.1	3760_0_001728
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G054300.1	ONI21232, ONI21231, ONI21234
OG0000014	OrthoDB_Prunus_persica_Lovell	Prupe.4G286000.2	3760_0_002e98
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.4G286000.2	ONI14538
OG0000014	OrthoDB_Prunus_persica_Lovell	Prupe.2G054700.1	3760_0_00146f
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G054700.1	ONI21238
OG0000014	OrthoDB_Prunus_persica_Lovell	Prupe.2G054500.1	3760_0_0013ca, 3760_0_00184d
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.2G054500.1	ONI21236
OG0000015	OrthoDB_Prunus_persica_Lovell	Prupe.1G515300.1	3760_0_001096
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G515300.1	ONI35091
OG0000015	OrthoDB_Prunus_persica_Lovell	Prupe.3G116100.1	3760_0_002624
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.3G116100.1	ONI16695
OG0000015	OrthoDB_Prunus_persica_Lovell	Prupe.3G116000.1	3760_0_002863
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.3G116000.1	ONI16694
OG0000015	OrthoDB_Prunus_persica_Lovell	Prupe.1G510800.1	3760_0_0008d9
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G510800.1	ONI35023
OG0000015	OrthoDB_Prunus_persica_Lovell	Prupe.1G513300.1	3760_0_00066e
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G513300.1	ONI35068
OG0000015	OrthoDB_Prunus_persica_Lovell	Prupe.3G157900.1	3760_0_002707
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.3G157900.1	ONI17417
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G514200.1	ONI35077
OG0000015	OrthoDB_Prunus_persica_Lovell	Prupe.3G115800.2	3760_0_000de9, 3760_0_00267a
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.3G115800.2	ONI16690
OG0000015	OrthoDB_Prunus_persica_Lovell	Prupe.1G515600.1	3760_0_0024f3
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G515600.1	ONI35094
OG0000015	OrthoDB_Prunus_persica_Lovell	Prupe.1G515800.1	3760_0_0002ad
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.1G515800.1	ONI35098
OG0000015	OrthoDB_Prunus_persica_Lovell	Prupe.4G283700.1	3760_0_002f69
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.4G283700.1	ONI14504
OG0000015	OrthoDB_Prunus_persica_Lovell	Prupe.6G161700.1	3760_0_003ba0
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Prupe.6G161700.1	ONI01827, ONI01826
OG0000015	OrthoDB_Prunus_persica_Lovell	Prupe.7G014300.1	3760_0_004df0
