Orthogroup	Species	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	Orthologs
OG0000009	OrthoDB_Prunus_persica_Lovell	ONH94494	3760_0_000031, 3760_0_002f85, 3760_0_005812, 3760_0_005712, 3760_0_002cb6, 3760_0_003bdc, 3760_0_0057ef, 3760_0_004bd6, 3760_0_001294, 3760_0_0047bc, 3760_0_0026eb, 3760_0_00332a, 3760_0_00320e, 3760_0_003a11, 3760_0_0047a6, 3760_0_00057a, 3760_0_00480c, 3760_0_0012c8, 3760_0_0032a1, 3760_0_003d29, 3760_0_002ab6, 3760_0_001647, 3760_0_00220d, 3760_0_003cdc, 3760_0_000173, 3760_0_001df5, 3760_0_004c9b, 3760_0_005152, 3760_0_004c20, 3760_0_005902, 3760_0_004470, 3760_0_0020a5, 3760_0_004d01, 3760_0_0054c2, 3760_0_002ddb, 3760_0_0052f2, 3760_0_005989, 3760_0_002e28, 3760_0_0043ab, 3760_0_00598a, 3760_0_004278, 3760_0_002875, 3760_0_00361d, 3760_0_002617, 3760_0_000885, 3760_0_00313f, 3760_0_0039d9, 3760_0_004dd0, 3760_0_004729, 3760_0_00562e, 3760_0_0017a7, 3760_0_0054f2, 3760_0_005988, 3760_0_002735, 3760_0_0032be, 3760_0_00566b, 3760_0_002f9d, 3760_0_0036ec, 3760_0_000bcb, 3760_0_002a50, 3760_0_002c41, 3760_0_004034, 3760_0_0047cd, 3760_0_002dba
OG0000009	PLAZA_proteome.selected_transcript.ppe	ONH94494	Prupe.7G018900.1
OG0000011	PLAZA_proteome.selected_transcript.ppe	ONI23605	Prupe.2G197900.2
OG0000011	OrthoDB_Prunus_persica_Lovell	ONI23605	3760_0_001539
OG0000011	OrthoDB_Prunus_persica_Lovell	ONH99226	3760_0_003d9b
OG0000011	PLAZA_proteome.selected_transcript.ppe	ONH99226	Prupe.6G019000.1
OG0000011	OrthoDB_Prunus_persica_Lovell	ONI01538	3760_0_003b49
OG0000011	PLAZA_proteome.selected_transcript.ppe	ONI01538	Prupe.6G145100.1
OG0000011	OrthoDB_Prunus_persica_Lovell	ONH99228	3760_0_004571
OG0000011	PLAZA_proteome.selected_transcript.ppe	ONH99228	Prupe.6G019100.1
OG0000011	OrthoDB_Prunus_persica_Lovell	ONI00425	3760_0_003c22
OG0000011	PLAZA_proteome.selected_transcript.ppe	ONI00425	Prupe.6G088200.1
OG0000011	OrthoDB_Prunus_persica_Lovell	ONI01377	3760_0_004597
OG0000011	PLAZA_proteome.selected_transcript.ppe	ONI01377	Prupe.6G136100.1
OG0000011	OrthoDB_Prunus_persica_Lovell	ONI01384	3760_0_003f7c
OG0000011	PLAZA_proteome.selected_transcript.ppe	ONI01384	Prupe.6G136700.1
OG0000011	OrthoDB_Prunus_persica_Lovell	ONH89477	3760_0_0059b3, 3760_0_003f1c
OG0000011	PLAZA_proteome.selected_transcript.ppe	ONH89477	Prupe.I005900.1
OG0000011	OrthoDB_Prunus_persica_Lovell	ONI01381	3760_0_004435
OG0000011	PLAZA_proteome.selected_transcript.ppe	ONI01381	Prupe.6G136400.1
OG0000011	OrthoDB_Prunus_persica_Lovell	ONI01380	3760_0_00447c, 3760_0_00435a
OG0000011	PLAZA_proteome.selected_transcript.ppe	ONI01380	Prupe.6G136300.1
OG0000011	OrthoDB_Prunus_persica_Lovell	ONH95664	3760_0_0048e4
OG0000011	PLAZA_proteome.selected_transcript.ppe	ONH95664	Prupe.7G083600.1
OG0000011	OrthoDB_Prunus_persica_Lovell	ONH95665, ONH95666	3760_0_00500b, 3760_0_004fe9
OG0000011	PLAZA_proteome.selected_transcript.ppe	ONH95665, ONH95666	Prupe.7G083700.1
OG0000011	OrthoDB_Prunus_persica_Lovell	ONI23608	3760_0_001a7b
OG0000011	PLAZA_proteome.selected_transcript.ppe	ONI23608	Prupe.2G198100.1
OG0000011	OrthoDB_Prunus_persica_Lovell	ONI23606	3760_0_0019da
OG0000011	PLAZA_proteome.selected_transcript.ppe	ONI23606	Prupe.2G198000.1
OG0000011	OrthoDB_Prunus_persica_Lovell	ONI23611	3760_0_00171d
OG0000011	PLAZA_proteome.selected_transcript.ppe	ONI23611	Prupe.2G198400.1
OG0000011	PLAZA_proteome.selected_transcript.ppe	ONI23609	Prupe.2G198200.1
OG0000011	OrthoDB_Prunus_persica_Lovell	ONI23610	3760_0_00164c, 3760_0_001e47
OG0000011	PLAZA_proteome.selected_transcript.ppe	ONI23610	Prupe.2G198300.1
OG0000012	OrthoDB_Prunus_persica_Lovell	ONI26888	3760_0_0003b6
OG0000012	PLAZA_proteome.selected_transcript.ppe	ONI26888	Prupe.1G053200.1
OG0000012	OrthoDB_Prunus_persica_Lovell	ONI17972	3760_0_002736
OG0000012	PLAZA_proteome.selected_transcript.ppe	ONI17972	Prupe.3G189100.1
OG0000012	OrthoDB_Prunus_persica_Lovell	ONI17974	3760_0_002095
OG0000012	PLAZA_proteome.selected_transcript.ppe	ONI17974	Prupe.3G189300.1
OG0000012	OrthoDB_Prunus_persica_Lovell	ONI13671	3760_0_002e05
OG0000012	PLAZA_proteome.selected_transcript.ppe	ONI13671	Prupe.4G236600.1
OG0000012	OrthoDB_Prunus_persica_Lovell	ONI13672	3760_0_002f5d
OG0000012	PLAZA_proteome.selected_transcript.ppe	ONI13672	Prupe.4G237000.1
OG0000012	PLAZA_proteome.selected_transcript.ppe	ONI13675	Prupe.4G236700.1
OG0000012	OrthoDB_Prunus_persica_Lovell	ONI13675	3760_0_002e8e
OG0000012	OrthoDB_Prunus_persica_Lovell	ONI17967	3760_0_00248a
OG0000012	PLAZA_proteome.selected_transcript.ppe	ONI17967	Prupe.3G188600.1
OG0000012	OrthoDB_Prunus_persica_Lovell	ONI17966	3760_0_0023ae
OG0000012	PLAZA_proteome.selected_transcript.ppe	ONI17966	Prupe.3G188500.1
OG0000012	OrthoDB_Prunus_persica_Lovell	ONI17979	3760_0_002535, 3760_0_002394
OG0000012	PLAZA_proteome.selected_transcript.ppe	ONI17979	Prupe.3G189500.1
OG0000012	OrthoDB_Prunus_persica_Lovell	ONI17987	3760_0_00208a
OG0000012	PLAZA_proteome.selected_transcript.ppe	ONI17987	Prupe.3G190300.1
OG0000012	OrthoDB_Prunus_persica_Lovell	ONI17965	3760_0_00276f
OG0000012	PLAZA_proteome.selected_transcript.ppe	ONI17965	Prupe.3G188400.1
OG0000012	OrthoDB_Prunus_persica_Lovell	ONI17981	3760_0_002648
OG0000012	PLAZA_proteome.selected_transcript.ppe	ONI17981	Prupe.3G189700.1
OG0000012	OrthoDB_Prunus_persica_Lovell	ONI17980	3760_0_00232d
OG0000012	PLAZA_proteome.selected_transcript.ppe	ONI17980	Prupe.3G189600.1
OG0000012	OrthoDB_Prunus_persica_Lovell	ONI26889	3760_0_0002cb
OG0000012	PLAZA_proteome.selected_transcript.ppe	ONI26889	Prupe.1G053300.1
OG0000012	OrthoDB_Prunus_persica_Lovell	ONI26890	3760_0_0006c3
OG0000012	PLAZA_proteome.selected_transcript.ppe	ONI26890	Prupe.1G053400.1
OG0000012	PLAZA_proteome.selected_transcript.ppe	ONI26891	Prupe.1G053500.1
OG0000012	OrthoDB_Prunus_persica_Lovell	ONI26929, ONI26887	3760_0_000248
OG0000012	PLAZA_proteome.selected_transcript.ppe	ONI26929	Prupe.1G055800.1
OG0000012	PLAZA_proteome.selected_transcript.ppe	ONI26887	Prupe.1G053100.1
OG0000013	OrthoDB_Prunus_persica_Lovell	ONI07355	3760_0_000133, 3760_0_004ccf, 3760_0_002188, 3760_0_004e98, 3760_0_002634, 3760_0_003ffe, 3760_0_0006d3, 3760_0_0024a2, 3760_0_005762, 3760_0_0051ae, 3760_0_001545, 3760_0_0023c2, 3760_0_002827, 3760_0_0055bc, 3760_0_0033d3, 3760_0_005099, 3760_0_005167, 3760_0_000635, 3760_0_003822, 3760_0_001534, 3760_0_005980, 3760_0_00192c, 3760_0_0056b1, 3760_0_0054bc, 3760_0_003510, 3760_0_00531d, 3760_0_0045a8, 3760_0_00598f, 3760_0_0014b3, 3760_0_000241, 3760_0_000918, 3760_0_002ba9, 3760_0_0011e5, 3760_0_002128, 3760_0_00105c, 3760_0_002b18, 3760_0_003bad, 3760_0_001398, 3760_0_003e23, 3760_0_00530e, 3760_0_0007fe, 3760_0_002a81, 3760_0_001282, 3760_0_0043ea, 3760_0_00134e, 3760_0_001a6f, 3760_0_000ac9, 3760_0_0051f6, 3760_0_002297, 3760_0_004d09, 3760_0_003b1c
OG0000013	PLAZA_proteome.selected_transcript.ppe	ONI07355	Prupe.5G115000.2
OG0000013	OrthoDB_Prunus_persica_Lovell	ONI07356, ONI07357	3760_0_003392
OG0000014	OrthoDB_Prunus_persica_Lovell	ONI20966	3760_0_0018c4
OG0000014	PLAZA_proteome.selected_transcript.ppe	ONI20966	Prupe.2G043200.1
OG0000014	OrthoDB_Prunus_persica_Lovell	ONI21029	3760_0_0019cf
OG0000014	PLAZA_proteome.selected_transcript.ppe	ONI21029	Prupe.2G046300.1
OG0000014	PLAZA_proteome.selected_transcript.ppe	ONI20867	Prupe.2G037800.2
OG0000014	OrthoDB_Prunus_persica_Lovell	ONI20867	3760_0_0018e6
OG0000014	OrthoDB_Prunus_persica_Lovell	ONI21193	3760_0_00150a, 3760_0_00186e
OG0000014	PLAZA_proteome.selected_transcript.ppe	ONI21193	Prupe.2G052200.1
OG0000014	OrthoDB_Prunus_persica_Lovell	ONI20914	3760_0_001ccc
OG0000014	PLAZA_proteome.selected_transcript.ppe	ONI20914	Prupe.2G040500.1
OG0000014	OrthoDB_Prunus_persica_Lovell	ONI20916	3760_0_001c1c
OG0000014	PLAZA_proteome.selected_transcript.ppe	ONI20916	Prupe.2G040700.1
OG0000014	PLAZA_proteome.selected_transcript.ppe	ONI21221	Prupe.2G053600.1
OG0000014	OrthoDB_Prunus_persica_Lovell	ONI21221	3760_0_00166d
OG0000014	OrthoDB_Prunus_persica_Lovell	ONI21160	3760_0_0017c5
OG0000014	PLAZA_proteome.selected_transcript.ppe	ONI21160	Prupe.2G051100.1
OG0000014	PLAZA_proteome.selected_transcript.ppe	ONI21228	Prupe.2G054000.1
OG0000014	OrthoDB_Prunus_persica_Lovell	ONI21228	3760_0_0015ce
OG0000014	OrthoDB_Prunus_persica_Lovell	ONI21226	3760_0_00171e
OG0000014	PLAZA_proteome.selected_transcript.ppe	ONI21226	Prupe.2G053800.1
OG0000014	OrthoDB_Prunus_persica_Lovell	ONI21225	3760_0_00163c, 3760_0_001c1d, 3760_0_0059c2
OG0000014	PLAZA_proteome.selected_transcript.ppe	ONI21225	Prupe.2G053700.1
OG0000014	OrthoDB_Prunus_persica_Lovell	ONI21232, ONI21231, ONI21234	3760_0_001728
OG0000014	PLAZA_proteome.selected_transcript.ppe	ONI21232, ONI21231, ONI21234	Prupe.2G054300.1
OG0000014	OrthoDB_Prunus_persica_Lovell	ONI14538	3760_0_002e98
OG0000014	PLAZA_proteome.selected_transcript.ppe	ONI14538	Prupe.4G286000.2
OG0000014	OrthoDB_Prunus_persica_Lovell	ONI21238	3760_0_00146f
OG0000014	PLAZA_proteome.selected_transcript.ppe	ONI21238	Prupe.2G054700.1
OG0000014	OrthoDB_Prunus_persica_Lovell	ONI21236	3760_0_0013ca, 3760_0_00184d
OG0000014	PLAZA_proteome.selected_transcript.ppe	ONI21236	Prupe.2G054500.1
OG0000015	OrthoDB_Prunus_persica_Lovell	ONI35091	3760_0_001096
OG0000015	PLAZA_proteome.selected_transcript.ppe	ONI35091	Prupe.1G515300.1
OG0000015	OrthoDB_Prunus_persica_Lovell	ONI16695	3760_0_002624
OG0000015	PLAZA_proteome.selected_transcript.ppe	ONI16695	Prupe.3G116100.1
OG0000015	OrthoDB_Prunus_persica_Lovell	ONI16694	3760_0_002863
OG0000015	PLAZA_proteome.selected_transcript.ppe	ONI16694	Prupe.3G116000.1
OG0000015	OrthoDB_Prunus_persica_Lovell	ONI35023	3760_0_0008d9
OG0000015	PLAZA_proteome.selected_transcript.ppe	ONI35023	Prupe.1G510800.1
OG0000015	OrthoDB_Prunus_persica_Lovell	ONI35068	3760_0_00066e
OG0000015	PLAZA_proteome.selected_transcript.ppe	ONI35068	Prupe.1G513300.1
OG0000015	OrthoDB_Prunus_persica_Lovell	ONI17417	3760_0_002707
OG0000015	PLAZA_proteome.selected_transcript.ppe	ONI17417	Prupe.3G157900.1
OG0000015	PLAZA_proteome.selected_transcript.ppe	ONI35077	Prupe.1G514200.1
OG0000015	OrthoDB_Prunus_persica_Lovell	ONI16690	3760_0_000de9, 3760_0_00267a
OG0000015	PLAZA_proteome.selected_transcript.ppe	ONI16690	Prupe.3G115800.2
OG0000015	OrthoDB_Prunus_persica_Lovell	ONI35094	3760_0_0024f3
OG0000015	PLAZA_proteome.selected_transcript.ppe	ONI35094	Prupe.1G515600.1
OG0000015	OrthoDB_Prunus_persica_Lovell	ONI35098	3760_0_0002ad
OG0000015	PLAZA_proteome.selected_transcript.ppe	ONI35098	Prupe.1G515800.1
OG0000015	OrthoDB_Prunus_persica_Lovell	ONI14504	3760_0_002f69
OG0000015	PLAZA_proteome.selected_transcript.ppe	ONI14504	Prupe.4G283700.1
OG0000015	OrthoDB_Prunus_persica_Lovell	ONI01827, ONI01826	3760_0_003ba0
OG0000015	PLAZA_proteome.selected_transcript.ppe	ONI01827, ONI01826	Prupe.6G161700.1
OG0000015	OrthoDB_Prunus_persica_Lovell	ONI01828	3760_0_003045
OG0000015	OrthoDB_Prunus_persica_Lovell	ONH94400	3760_0_004df0
OG0000015	PLAZA_proteome.selected_transcript.ppe	ONH94400	Prupe.7G014300.1
OG0000015	OrthoDB_Prunus_persica_Lovell	ONI35097, ONI35095, ONI35096	3760_0_001215
OG0000015	PLAZA_proteome.selected_transcript.ppe	ONI35097, ONI35095, ONI35096	Prupe.1G515700.3
OG0000015	OrthoDB_Prunus_persica_Lovell	ONH90555	3760_0_0052e5, 3760_0_0052a9, 3760_0_00580c
OG0000015	PLAZA_proteome.selected_transcript.ppe	ONH90555	Prupe.8G061100.1
OG0000016	OrthoDB_Prunus_persica_Lovell	ONI07252	3760_0_0037ad
OG0000016	PLAZA_proteome.selected_transcript.ppe	ONI07252	Prupe.5G109000.1
OG0000016	OrthoDB_Prunus_persica_Lovell	ONI07249	3760_0_0036b2
OG0000016	PLAZA_proteome.selected_transcript.ppe	ONI07249	Prupe.5G108700.1
OG0000016	OrthoDB_Prunus_persica_Lovell	ONI07246	3760_0_003a0d
OG0000016	PLAZA_proteome.selected_transcript.ppe	ONI07246	Prupe.5G108400.1
OG0000016	OrthoDB_Prunus_persica_Lovell	ONI07239	3760_0_0035f3
OG0000016	PLAZA_proteome.selected_transcript.ppe	ONI07239	Prupe.5G108000.1
OG0000016	OrthoDB_Prunus_persica_Lovell	ONI07242	3760_0_00353e
OG0000016	PLAZA_proteome.selected_transcript.ppe	ONI07242	Prupe.5G107700.1
OG0000016	OrthoDB_Prunus_persica_Lovell	ONI07244	3760_0_003ad7
OG0000016	PLAZA_proteome.selected_transcript.ppe	ONI07244	Prupe.5G108200.1
OG0000016	OrthoDB_Prunus_persica_Lovell	ONI07247	3760_0_0037ea
OG0000016	PLAZA_proteome.selected_transcript.ppe	ONI07247	Prupe.5G108500.1
OG0000016	OrthoDB_Prunus_persica_Lovell	ONI07248	3760_0_003a4f
OG0000016	PLAZA_proteome.selected_transcript.ppe	ONI07248	Prupe.5G108600.1
OG0000016	OrthoDB_Prunus_persica_Lovell	ONI07257	3760_0_0033fb
OG0000016	PLAZA_proteome.selected_transcript.ppe	ONI07257	Prupe.5G109500.1
OG0000016	PLAZA_proteome.selected_transcript.ppe	ONI07240	Prupe.5G107800.1
OG0000016	OrthoDB_Prunus_persica_Lovell	ONI07240	3760_0_0035d3
OG0000016	PLAZA_proteome.selected_transcript.ppe	ONI07243	Prupe.5G108100.1
OG0000016	PLAZA_proteome.selected_transcript.ppe	ONI07238	Prupe.5G107600.1
OG0000016	OrthoDB_Prunus_persica_Lovell	ONI07237	3760_0_003829
OG0000016	PLAZA_proteome.selected_transcript.ppe	ONI07237	Prupe.5G107500.1
OG0000016	OrthoDB_Prunus_persica_Lovell	ONI07256	3760_0_00354d
OG0000016	PLAZA_proteome.selected_transcript.ppe	ONI07256	Prupe.5G109400.1
OG0000016	OrthoDB_Prunus_persica_Lovell	ONI07253	3760_0_003626, 3760_0_003a5b
OG0000016	PLAZA_proteome.selected_transcript.ppe	ONI07253	Prupe.5G109100.1
OG0000016	OrthoDB_Prunus_persica_Lovell	ONI07254	3760_0_0038fb
OG0000016	PLAZA_proteome.selected_transcript.ppe	ONI07254	Prupe.5G109200.1
OG0000017	OrthoDB_Prunus_persica_Lovell	ONH92091	3760_0_0054e1
OG0000017	PLAZA_proteome.selected_transcript.ppe	ONH92091	Prupe.8G154500.1
OG0000017	PLAZA_proteome.selected_transcript.ppe	ONH92089	Prupe.8G154000.1
OG0000017	OrthoDB_Prunus_persica_Lovell	ONH92089	3760_0_0050e7
OG0000017	PLAZA_proteome.selected_transcript.ppe	ONH92086	Prupe.8G154300.1
OG0000017	OrthoDB_Prunus_persica_Lovell	ONH92086	3760_0_0053e6
OG0000017	OrthoDB_Prunus_persica_Lovell	ONH92087, ONH92090, ONH92080	3760_0_0053c4
OG0000017	PLAZA_proteome.selected_transcript.ppe	ONH92087	Prupe.8G154100.1
OG0000017	PLAZA_proteome.selected_transcript.ppe	ONH92090	Prupe.8G154400.1
OG0000017	PLAZA_proteome.selected_transcript.ppe	ONH92080	Prupe.8G153400.1
OG0000017	OrthoDB_Prunus_persica_Lovell	ONH93680	3760_0_005616
