Orthogroup	Species	OrthoDB_Prunus_persica_Lovell	Orthologs
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_003d9b	ONH99226
OG0000011	PLAZA_proteome.selected_transcript.ppe	3760_0_003d9b	Prupe.6G019000.1
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_003b49	ONI01538
OG0000011	PLAZA_proteome.selected_transcript.ppe	3760_0_003b49	Prupe.6G145100.1
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_004571	ONH99228
OG0000011	PLAZA_proteome.selected_transcript.ppe	3760_0_004571	Prupe.6G019100.1
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_003c22	ONI00425
OG0000011	PLAZA_proteome.selected_transcript.ppe	3760_0_003c22	Prupe.6G088200.1
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_004597	ONI01377
OG0000011	PLAZA_proteome.selected_transcript.ppe	3760_0_004597	Prupe.6G136100.1
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_003f7c	ONI01384
OG0000011	PLAZA_proteome.selected_transcript.ppe	3760_0_003f7c	Prupe.6G136700.1
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_0059b3, 3760_0_003f1c	ONH89477
OG0000011	PLAZA_proteome.selected_transcript.ppe	3760_0_0059b3, 3760_0_003f1c	Prupe.I005900.1
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_004435	ONI01381
OG0000011	PLAZA_proteome.selected_transcript.ppe	3760_0_004435	Prupe.6G136400.1
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_00447c, 3760_0_00435a	ONI01380
OG0000011	PLAZA_proteome.selected_transcript.ppe	3760_0_00447c, 3760_0_00435a	Prupe.6G136300.1
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_0048e4	ONH95664
OG0000011	PLAZA_proteome.selected_transcript.ppe	3760_0_0048e4	Prupe.7G083600.1
OG0000011	PLAZA_proteome.selected_transcript.ppe	3760_0_00500b, 3760_0_004fe9	Prupe.7G083700.1
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_00500b, 3760_0_004fe9	ONH95665, ONH95666
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_001a7b	ONI23608
OG0000011	PLAZA_proteome.selected_transcript.ppe	3760_0_001a7b	Prupe.2G198100.1
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_0019da	ONI23606
OG0000011	PLAZA_proteome.selected_transcript.ppe	3760_0_0019da	Prupe.2G198000.1
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_00171d	ONI23611
OG0000011	PLAZA_proteome.selected_transcript.ppe	3760_0_00171d	Prupe.2G198400.1
OG0000011	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_00164c, 3760_0_001e47	ONI23610
OG0000011	PLAZA_proteome.selected_transcript.ppe	3760_0_00164c, 3760_0_001e47	Prupe.2G198300.1
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_0003b6	ONI26888
OG0000012	PLAZA_proteome.selected_transcript.ppe	3760_0_0003b6	Prupe.1G053200.1
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_002736	ONI17972
OG0000012	PLAZA_proteome.selected_transcript.ppe	3760_0_002736	Prupe.3G189100.1
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_002095	ONI17974
OG0000012	PLAZA_proteome.selected_transcript.ppe	3760_0_002095	Prupe.3G189300.1
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_002e05	ONI13671
OG0000012	PLAZA_proteome.selected_transcript.ppe	3760_0_002e05	Prupe.4G236600.1
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_002f5d	ONI13672
OG0000012	PLAZA_proteome.selected_transcript.ppe	3760_0_002f5d	Prupe.4G237000.1
OG0000012	PLAZA_proteome.selected_transcript.ppe	3760_0_002e8e	Prupe.4G236700.1
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_002e8e	ONI13675
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_00248a	ONI17967
OG0000012	PLAZA_proteome.selected_transcript.ppe	3760_0_00248a	Prupe.3G188600.1
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_0023ae	ONI17966
OG0000012	PLAZA_proteome.selected_transcript.ppe	3760_0_0023ae	Prupe.3G188500.1
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_002535, 3760_0_002394	ONI17979
OG0000012	PLAZA_proteome.selected_transcript.ppe	3760_0_002535, 3760_0_002394	Prupe.3G189500.1
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_00208a	ONI17987
OG0000012	PLAZA_proteome.selected_transcript.ppe	3760_0_00208a	Prupe.3G190300.1
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_00276f	ONI17965
OG0000012	PLAZA_proteome.selected_transcript.ppe	3760_0_00276f	Prupe.3G188400.1
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_002648	ONI17981
OG0000012	PLAZA_proteome.selected_transcript.ppe	3760_0_002648	Prupe.3G189700.1
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_00232d	ONI17980
OG0000012	PLAZA_proteome.selected_transcript.ppe	3760_0_00232d	Prupe.3G189600.1
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_0002cb	ONI26889
OG0000012	PLAZA_proteome.selected_transcript.ppe	3760_0_0002cb	Prupe.1G053300.1
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_0006c3	ONI26890
OG0000012	PLAZA_proteome.selected_transcript.ppe	3760_0_0006c3	Prupe.1G053400.1
OG0000012	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_000248	ONI26929, ONI26887
OG0000012	PLAZA_proteome.selected_transcript.ppe	3760_0_000248	Prupe.1G055800.1, Prupe.1G053100.1
OG0000013	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_000133, 3760_0_004ccf, 3760_0_002188, 3760_0_004e98, 3760_0_002634, 3760_0_003ffe, 3760_0_0006d3, 3760_0_0024a2, 3760_0_005762, 3760_0_0051ae, 3760_0_001545, 3760_0_0023c2, 3760_0_002827, 3760_0_0055bc, 3760_0_0033d3, 3760_0_005099, 3760_0_005167, 3760_0_000635, 3760_0_003822, 3760_0_001534, 3760_0_005980, 3760_0_00192c, 3760_0_0056b1, 3760_0_0054bc, 3760_0_003510, 3760_0_00531d, 3760_0_0045a8, 3760_0_00598f, 3760_0_0014b3, 3760_0_000241, 3760_0_000918, 3760_0_002ba9, 3760_0_0011e5, 3760_0_002128, 3760_0_00105c, 3760_0_002b18, 3760_0_003bad, 3760_0_001398, 3760_0_003e23, 3760_0_00530e, 3760_0_0007fe, 3760_0_002a81, 3760_0_001282, 3760_0_0043ea, 3760_0_00134e, 3760_0_001a6f, 3760_0_000ac9, 3760_0_0051f6, 3760_0_002297, 3760_0_004d09, 3760_0_003b1c	ONI07355
OG0000013	PLAZA_proteome.selected_transcript.ppe	3760_0_000133, 3760_0_004ccf, 3760_0_002188, 3760_0_004e98, 3760_0_002634, 3760_0_003ffe, 3760_0_0006d3, 3760_0_0024a2, 3760_0_005762, 3760_0_0051ae, 3760_0_001545, 3760_0_0023c2, 3760_0_002827, 3760_0_0055bc, 3760_0_0033d3, 3760_0_005099, 3760_0_005167, 3760_0_000635, 3760_0_003822, 3760_0_001534, 3760_0_005980, 3760_0_00192c, 3760_0_0056b1, 3760_0_0054bc, 3760_0_003510, 3760_0_00531d, 3760_0_0045a8, 3760_0_00598f, 3760_0_0014b3, 3760_0_000241, 3760_0_000918, 3760_0_002ba9, 3760_0_0011e5, 3760_0_002128, 3760_0_00105c, 3760_0_002b18, 3760_0_003bad, 3760_0_001398, 3760_0_003e23, 3760_0_00530e, 3760_0_0007fe, 3760_0_002a81, 3760_0_001282, 3760_0_0043ea, 3760_0_00134e, 3760_0_001a6f, 3760_0_000ac9, 3760_0_0051f6, 3760_0_002297, 3760_0_004d09, 3760_0_003b1c	Prupe.5G115000.2
OG0000013	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_003392	ONI07356, ONI07357
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_0018c4	ONI20966
OG0000014	PLAZA_proteome.selected_transcript.ppe	3760_0_0018c4	Prupe.2G043200.1
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_0019cf	ONI21029
OG0000014	PLAZA_proteome.selected_transcript.ppe	3760_0_0019cf	Prupe.2G046300.1
OG0000014	PLAZA_proteome.selected_transcript.ppe	3760_0_0018e6	Prupe.2G037800.2
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_0018e6	ONI20867
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_00150a, 3760_0_00186e	ONI21193
OG0000014	PLAZA_proteome.selected_transcript.ppe	3760_0_00150a, 3760_0_00186e	Prupe.2G052200.1
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_001ccc	ONI20914
OG0000014	PLAZA_proteome.selected_transcript.ppe	3760_0_001ccc	Prupe.2G040500.1
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_001c1c	ONI20916
OG0000014	PLAZA_proteome.selected_transcript.ppe	3760_0_001c1c	Prupe.2G040700.1
OG0000014	PLAZA_proteome.selected_transcript.ppe	3760_0_00166d	Prupe.2G053600.1
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_00166d	ONI21221
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_0017c5	ONI21160
OG0000014	PLAZA_proteome.selected_transcript.ppe	3760_0_0017c5	Prupe.2G051100.1
OG0000014	PLAZA_proteome.selected_transcript.ppe	3760_0_0015ce	Prupe.2G054000.1
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_0015ce	ONI21228
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_00171e	ONI21226
OG0000014	PLAZA_proteome.selected_transcript.ppe	3760_0_00171e	Prupe.2G053800.1
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_00163c, 3760_0_001c1d, 3760_0_0059c2	ONI21225
OG0000014	PLAZA_proteome.selected_transcript.ppe	3760_0_00163c, 3760_0_001c1d, 3760_0_0059c2	Prupe.2G053700.1
OG0000014	PLAZA_proteome.selected_transcript.ppe	3760_0_001728	Prupe.2G054300.1
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_001728	ONI21232, ONI21231, ONI21234
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_002e98	ONI14538
OG0000014	PLAZA_proteome.selected_transcript.ppe	3760_0_002e98	Prupe.4G286000.2
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_00146f	ONI21238
OG0000014	PLAZA_proteome.selected_transcript.ppe	3760_0_00146f	Prupe.2G054700.1
OG0000014	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_0013ca, 3760_0_00184d	ONI21236
OG0000014	PLAZA_proteome.selected_transcript.ppe	3760_0_0013ca, 3760_0_00184d	Prupe.2G054500.1
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_001096	ONI35091
OG0000015	PLAZA_proteome.selected_transcript.ppe	3760_0_001096	Prupe.1G515300.1
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_002624	ONI16695
OG0000015	PLAZA_proteome.selected_transcript.ppe	3760_0_002624	Prupe.3G116100.1
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_002863	ONI16694
OG0000015	PLAZA_proteome.selected_transcript.ppe	3760_0_002863	Prupe.3G116000.1
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_0008d9	ONI35023
OG0000015	PLAZA_proteome.selected_transcript.ppe	3760_0_0008d9	Prupe.1G510800.1
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_00066e	ONI35068
OG0000015	PLAZA_proteome.selected_transcript.ppe	3760_0_00066e	Prupe.1G513300.1
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_002707	ONI17417
OG0000015	PLAZA_proteome.selected_transcript.ppe	3760_0_002707	Prupe.3G157900.1
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_000de9, 3760_0_00267a	ONI16690
OG0000015	PLAZA_proteome.selected_transcript.ppe	3760_0_000de9, 3760_0_00267a	Prupe.3G115800.2
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_0024f3	ONI35094
OG0000015	PLAZA_proteome.selected_transcript.ppe	3760_0_0024f3	Prupe.1G515600.1
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_0002ad	ONI35098
OG0000015	PLAZA_proteome.selected_transcript.ppe	3760_0_0002ad	Prupe.1G515800.1
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_002f69	ONI14504
OG0000015	PLAZA_proteome.selected_transcript.ppe	3760_0_002f69	Prupe.4G283700.1
OG0000015	PLAZA_proteome.selected_transcript.ppe	3760_0_003ba0	Prupe.6G161700.1
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_003ba0	ONI01827, ONI01826
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_003045	ONI01828
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_004df0	ONH94400
OG0000015	PLAZA_proteome.selected_transcript.ppe	3760_0_004df0	Prupe.7G014300.1
OG0000015	PLAZA_proteome.selected_transcript.ppe	3760_0_001215	Prupe.1G515700.3
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_001215	ONI35097, ONI35095, ONI35096
OG0000015	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_0052e5, 3760_0_0052a9, 3760_0_00580c	ONH90555
OG0000015	PLAZA_proteome.selected_transcript.ppe	3760_0_0052e5, 3760_0_0052a9, 3760_0_00580c	Prupe.8G061100.1
OG0000016	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_0037ad	ONI07252
OG0000016	PLAZA_proteome.selected_transcript.ppe	3760_0_0037ad	Prupe.5G109000.1
OG0000016	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_0036b2	ONI07249
OG0000016	PLAZA_proteome.selected_transcript.ppe	3760_0_0036b2	Prupe.5G108700.1
OG0000016	Compara_Prunus_persica.Prunus_persica_NCBIv2.pep.all	3760_0_003a0d	ONI07246
OG0000016	PLAZA_proteome.selected_transcript.ppe	3760_0_003a0d	Prupe.5G108400.1
