Orthogroup	Species	Texas_F1_protein	Orthologs
OG0000005	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G11180.1, TexasF1_G23973.1, TexasF1_G21837.1	3755_0_00576e
OG0000005	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G2876.1	3755_0_0058ee
OG0000005	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G17074.1, TexasF1_G9027.1, TexasF1_G1473.1, TexasF1_G7326.1, TexasF1_G2843.1, TexasF1_G18008.1, TexasF1_G5604.1, TexasF1_G16530.1	3755_0_000656
OG0000005	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G1978.1, TexasF1_G2980.1	3755_0_002a0e, 3755_0_0037d4, 3755_0_0056ca, 3755_0_00570a
OG0000005	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G27860.1, TexasF1_G27975.1	3755_0_0036d2, 3755_0_0056a2, 3755_0_004113
OG0000005	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G18138.1, TexasF1_G16293.1	3755_0_005964
OG0000005	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G16791.1	3755_0_0038b9, 3755_0_00590c, 3755_0_003a6e
OG0000005	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G3096.1, TexasF1_G4452.1, TexasF1_G27400.1, TexasF1_G16344.1, TexasF1_G21893.1	3755_0_000a60
OG0000005	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G5586.1, TexasF1_G24488.1, TexasF1_G13163.1, TexasF1_G27787.1	3755_0_001e00, 3755_0_005750
OG0000005	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G12201.1, TexasF1_G12249.1, TexasF1_G16800.1	3755_0_0022fa
OG0000005	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G62.1, TexasF1_G2071.1, TexasF1_G2668.1, TexasF1_G18133.1, TexasF1_G11897.1, TexasF1_G27955.1, TexasF1_G2506.1	3755_0_004ef5
OG0000005	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G2523.1, TexasF1_G28231.1, TexasF1_G21585.1, TexasF1_G22299.1, TexasF1_G13075.1, TexasF1_G7694.1, TexasF1_G17224.1, TexasF1_G6400.1, TexasF1_G6393.1	3755_0_0057b3
OG0000005	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G4576.1, TexasF1_G388.1, TexasF1_G514.1, TexasF1_G12221.1, TexasF1_G7452.1	VVA16793
OG0000005	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G4576.1, TexasF1_G388.1, TexasF1_G514.1, TexasF1_G12221.1, TexasF1_G7452.1	3755_0_000ea8
OG0000005	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G22170.1	3755_0_000498
OG0000006	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G373.1, TexasF1_G399.1, TexasF1_G18123.1, TexasF1_G1156.1, TexasF1_G12131.1, TexasF1_G498.1, TexasF1_G12272.1, TexasF1_G21702.1, TexasF1_G24237.1, TexasF1_G12338.1, TexasF1_G27637.1, TexasF1_G18919.1, TexasF1_G7605.1, TexasF1_G21735.1, TexasF1_G27288.1, TexasF1_G1381.1, TexasF1_G7784.1, TexasF1_G2967.1, TexasF1_G21720.1, TexasF1_G21701.1, TexasF1_G7670.1, TexasF1_G22620.1, TexasF1_G27272.1, TexasF1_G16620.1, TexasF1_G17078.1, TexasF1_G21462.1, TexasF1_G2709.1, TexasF1_G28206.1, TexasF1_G16875.1, TexasF1_G2836.1, TexasF1_G24508.1, TexasF1_G11694.1, TexasF1_G9293.1, TexasF1_G27933.1, TexasF1_G18791.1, TexasF1_G13096.1, TexasF1_G17945.1, TexasF1_G24070.1	VVA39779
OG0000006	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G201.1, TexasF1_G2420.1, TexasF1_G255.1, TexasF1_G24712.1, TexasF1_G11562.1, TexasF1_G24048.1, TexasF1_G11519.1, TexasF1_G17256.1, TexasF1_G15331.1, TexasF1_G20225.1, TexasF1_G22375.1, TexasF1_G17462.1, TexasF1_G16503.1, TexasF1_G11539.1, TexasF1_G26902.1, TexasF1_G11955.1, TexasF1_G27205.1, TexasF1_G16365.1, TexasF1_G7623.1, TexasF1_G8156.1, TexasF1_G8037.1, TexasF1_G24834.1, TexasF1_G25152.1, TexasF1_G28011.1, TexasF1_G13107.1, TexasF1_G11845.1, TexasF1_G9297.1, TexasF1_G27744.1, TexasF1_G2190.1, TexasF1_G2352.1, TexasF1_G12755.1, TexasF1_G6699.1, TexasF1_G21280.1, TexasF1_G2723.1, TexasF1_G22152.1, TexasF1_G9023.1, TexasF1_G21473.1, TexasF1_G3526.1, TexasF1_G22583.1, TexasF1_G17986.1, TexasF1_G11793.1, TexasF1_G15370.1, TexasF1_G17612.1, TexasF1_G22158.1, TexasF1_G13243.1, TexasF1_G1091.1, TexasF1_G7684.1, TexasF1_G471.1, TexasF1_G6875.1, TexasF1_G22402.1, TexasF1_G1429.1, TexasF1_G27807.1, TexasF1_G17898.1, TexasF1_G23572.1, TexasF1_G3054.1, TexasF1_G11708.1, TexasF1_G11186.1, TexasF1_G15809.1, TexasF1_G24836.1, TexasF1_G11526.1, TexasF1_G24068.1, TexasF1_G4193.1, TexasF1_G15332.1, TexasF1_G11367.1, TexasF1_G16940.1, TexasF1_G21852.1, TexasF1_G7127.1, TexasF1_G17775.1, TexasF1_G1522.1, TexasF1_G2574.1, TexasF1_G28059.1, TexasF1_G28053.1, TexasF1_G3634.1, TexasF1_G16774.1, TexasF1_G27279.1, TexasF1_G2388.1, TexasF1_G17854.1, TexasF1_G2231.1, TexasF1_G13191.1, TexasF1_G12074.1, TexasF1_G22384.1, TexasF1_G28026.1, TexasF1_G28208.1, TexasF1_G12084.1, TexasF1_G27928.1, TexasF1_G2534.1, TexasF1_G11876.1, TexasF1_G7633.1, TexasF1_G11755.1, TexasF1_G28032.1, TexasF1_G7225.1, TexasF1_G318.1, TexasF1_G794.1, TexasF1_G5243.1, TexasF1_G27398.1, TexasF1_G21907.1, TexasF1_G18116.1, TexasF1_G21581.1, TexasF1_G7599.1, TexasF1_G7916.1, TexasF1_G2601.1, TexasF1_G9031.1, TexasF1_G22125.1, TexasF1_G18122.1, TexasF1_G21979.1, TexasF1_G20456.1, TexasF1_G16492.1	VVA34039, VVA37495
OG0000007	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G5461.1, TexasF1_G21389.1, TexasF1_G23971.1	VVA40722
OG0000007	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G2224.1, TexasF1_G2666.1, TexasF1_G3880.1, TexasF1_G21839.1, TexasF1_G11920.1, TexasF1_G15925.1, TexasF1_G18543.1, TexasF1_G2772.1, TexasF1_G16719.1, TexasF1_G22406.1, TexasF1_G27373.1, TexasF1_G24525.1, TexasF1_G3160.1, TexasF1_G8301.1, TexasF1_G2874.1, TexasF1_G11178.1, TexasF1_G11952.1, TexasF1_G17452.1, TexasF1_G7659.1, TexasF1_G16892.1, TexasF1_G21902.1, TexasF1_G22279.1, TexasF1_G2667.1, TexasF1_G11898.1, TexasF1_G16650.1, TexasF1_G17213.1, TexasF1_G18132.1, TexasF1_G12985.1, TexasF1_G11721.1, TexasF1_G7776.1, TexasF1_G416.1, TexasF1_G6015.1, TexasF1_G6392.1, TexasF1_G6399.1, TexasF1_G491.1, TexasF1_G11049.1, TexasF1_G22081.1, TexasF1_G515.1, TexasF1_G7453.1, TexasF1_G7061.1, TexasF1_G5200.1, TexasF1_G24483.1, TexasF1_G7885.1, TexasF1_G12220.1, TexasF1_G22244.1, TexasF1_G24782.1, TexasF1_G12322.1, TexasF1_G2317.1, TexasF1_G21563.1, TexasF1_G2330.1, TexasF1_G21571.1, TexasF1_G22173.1, TexasF1_G5595.1, TexasF1_G7327.1, TexasF1_G7098.1, TexasF1_G24855.1, TexasF1_G2982.1, TexasF1_G28218.1, TexasF1_G27421.1, TexasF1_G12046.1, TexasF1_G18539.1, TexasF1_G12316.1, TexasF1_G16808.1, TexasF1_G4578.1, TexasF1_G28088.1, TexasF1_G7486.1, TexasF1_G21388.1, TexasF1_G17091.1	VVA39297
OG0000007	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G387.1, TexasF1_G7455.1	VVA41523
OG0000007	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G2069.1, TexasF1_G24428.1, TexasF1_G2173.1, TexasF1_G13074.1, TexasF1_G16755.1, TexasF1_G21584.1, TexasF1_G17220.1, TexasF1_G17223.1, TexasF1_G7695.1, TexasF1_G22300.1, TexasF1_G2522.1, TexasF1_G28230.1, TexasF1_G24032.1, TexasF1_G2504.1, TexasF1_G27973.1	VVA41632
OG0000007	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G12247.1	VVA40000
OG0000007	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G2552.1, TexasF1_G16801.1	VVA41636
OG0000007	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G3098.1	VVA38251
OG0000007	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G24492.1, TexasF1_G2498.1, TexasF1_G5613.1, TexasF1_G2779.1, TexasF1_G12199.1	VVA29239
OG0000007	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G1977.1, TexasF1_G17373.1, TexasF1_G25027.1, TexasF1_G18139.1, TexasF1_G3439.1, TexasF1_G27785.1, TexasF1_G27857.1, TexasF1_G15971.1, TexasF1_G27399.1, TexasF1_G2862.1, TexasF1_G16789.1, TexasF1_G17399.1, TexasF1_G17400.1, TexasF1_G17708.1, TexasF1_G27791.1, TexasF1_G27411.1, TexasF1_G5585.1, TexasF1_G27858.1, TexasF1_G16342.1, TexasF1_G17960.1, TexasF1_G21773.1	VVA35428
OG0000007	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G906.1, TexasF1_G5594.1, TexasF1_G18006.1, TexasF1_G27794.1, TexasF1_G1118.1, TexasF1_G2794.1	VVA36599
OG0000008	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G11054.1	VVA34727
OG0000008	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G7530.1, TexasF1_G16434.1, TexasF1_G3531.1, TexasF1_G5503.1, TexasF1_G17037.1, TexasF1_G6977.1, TexasF1_G16435.1, TexasF1_G28159.1, TexasF1_G29633.1, TexasF1_G26892.1, TexasF1_G21447.1, TexasF1_G28150.1, TexasF1_G1477.1, TexasF1_G20154.1, TexasF1_G24043.1, TexasF1_G26412.1, TexasF1_G26417.1	3755_0_0047a5
OG0000008	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G10631.1, TexasF1_G16802.1, TexasF1_G13502.1, TexasF1_G15757.1, TexasF1_G18846.1, TexasF1_G28120.1, TexasF1_G11858.1, TexasF1_G25002.1, TexasF1_G15454.1, TexasF1_G1449.1, TexasF1_G24618.1, TexasF1_G28529.1, TexasF1_G1122.1, TexasF1_G2480.1, TexasF1_G18335.1, TexasF1_G27877.1, TexasF1_G24909.1, TexasF1_G11744.1, TexasF1_G29567.1, TexasF1_G28237.1, TexasF1_G7382.1, TexasF1_G12402.1, TexasF1_G25024.1, TexasF1_G12718.1, TexasF1_G17473.1, TexasF1_G21154.1, TexasF1_G2409.1, TexasF1_G4507.1, TexasF1_G24740.1, TexasF1_G24448.1, TexasF1_G7405.1, TexasF1_G27874.1, TexasF1_G28374.1, TexasF1_G8490.1, TexasF1_G27903.1, TexasF1_G16415.1, TexasF1_G27771.1, TexasF1_G28148.1, TexasF1_G1980.1, TexasF1_G4943.1, TexasF1_G11738.1, TexasF1_G11319.1, TexasF1_G102.1, TexasF1_G12037.1, TexasF1_G24447.1, TexasF1_G16658.1, TexasF1_G5253.1, TexasF1_G15381.1, TexasF1_G5254.1, TexasF1_G7204.1, TexasF1_G24818.1, TexasF1_G11830.1, TexasF1_G18396.1, TexasF1_G7642.1, TexasF1_G7669.1, TexasF1_G20254.1, TexasF1_G13983.1, TexasF1_G18843.1, TexasF1_G10797.1, TexasF1_G20152.1, TexasF1_G20153.1, TexasF1_G11358.1, TexasF1_G27032.1, TexasF1_G6269.1, TexasF1_G24912.1, TexasF1_G11939.1, TexasF1_G1543.1, TexasF1_G2944.1, TexasF1_G1369.1, TexasF1_G2961.1, TexasF1_G24416.1, TexasF1_G22079.1, TexasF1_G7501.1, TexasF1_G18333.1, TexasF1_G11515.1, TexasF1_G12595.1, TexasF1_G21664.1, TexasF1_G20124.1, TexasF1_G16124.1, TexasF1_G27897.1, TexasF1_G9388.1, TexasF1_G24746.1, TexasF1_G3201.1, TexasF1_G28523.1, TexasF1_G4236.1, TexasF1_G27217.1, TexasF1_G24006.1, TexasF1_G7295.1, TexasF1_G27760.1, TexasF1_G2645.1, TexasF1_G4963.1, TexasF1_G15201.1, TexasF1_G12566.1, TexasF1_G5141.1, TexasF1_G5150.1	VVA12001
OG0000009	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G5225.1, TexasF1_G28254.1, TexasF1_G11773.1	3755_0_000434
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G5225.1, TexasF1_G28254.1	VVA37531
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G11773.1	VVA28986
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G11214.1	VVA38163
OG0000009	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G11214.1	3755_0_004649
OG0000009	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G24033.1	3755_0_004b54
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G21712.1	VVA40652, VVA41091
OG0000009	OrthoDB_Prunus_dulcis_CNAG	TexasF1_G21712.1	3755_0_00246f, 3755_0_0058c0
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	TexasF1_G11724.1, TexasF1_G22184.1, TexasF1_G15664.1, TexasF1_G28190.1, TexasF1_G26333.1, TexasF1_G10491.1, TexasF1_G25052.1	VVA38876
