Orthogroup	Species	Compara_Prunus_dulcis.ALMONDv2.pep.all	Orthologs
OG0000007	Texas_F1_protein	VVA39297	TexasF1_G2224.1, TexasF1_G2666.1, TexasF1_G3880.1, TexasF1_G21839.1, TexasF1_G11920.1, TexasF1_G15925.1, TexasF1_G18543.1, TexasF1_G2772.1, TexasF1_G16719.1, TexasF1_G22406.1, TexasF1_G27373.1, TexasF1_G24525.1, TexasF1_G3160.1, TexasF1_G8301.1, TexasF1_G2874.1, TexasF1_G11178.1, TexasF1_G11952.1, TexasF1_G17452.1, TexasF1_G7659.1, TexasF1_G16892.1, TexasF1_G21902.1, TexasF1_G22279.1, TexasF1_G2667.1, TexasF1_G11898.1, TexasF1_G16650.1, TexasF1_G17213.1, TexasF1_G18132.1, TexasF1_G12985.1, TexasF1_G11721.1, TexasF1_G7776.1, TexasF1_G416.1, TexasF1_G6015.1, TexasF1_G6392.1, TexasF1_G6399.1, TexasF1_G491.1, TexasF1_G11049.1, TexasF1_G22081.1, TexasF1_G515.1, TexasF1_G7453.1, TexasF1_G7061.1, TexasF1_G5200.1, TexasF1_G24483.1, TexasF1_G7885.1, TexasF1_G12220.1, TexasF1_G22244.1, TexasF1_G24782.1, TexasF1_G12322.1, TexasF1_G2317.1, TexasF1_G21563.1, TexasF1_G2330.1, TexasF1_G21571.1, TexasF1_G22173.1, TexasF1_G5595.1, TexasF1_G7327.1, TexasF1_G7098.1, TexasF1_G24855.1, TexasF1_G2982.1, TexasF1_G28218.1, TexasF1_G27421.1, TexasF1_G12046.1, TexasF1_G18539.1, TexasF1_G12316.1, TexasF1_G16808.1, TexasF1_G4578.1, TexasF1_G28088.1, TexasF1_G7486.1, TexasF1_G21388.1, TexasF1_G17091.1
OG0000007	Texas_F1_protein	VVA41523	TexasF1_G387.1, TexasF1_G7455.1
OG0000007	Texas_F1_protein	VVA41632	TexasF1_G2069.1, TexasF1_G24428.1, TexasF1_G2173.1, TexasF1_G13074.1, TexasF1_G16755.1, TexasF1_G21584.1, TexasF1_G17220.1, TexasF1_G17223.1, TexasF1_G7695.1, TexasF1_G22300.1, TexasF1_G2522.1, TexasF1_G28230.1, TexasF1_G24032.1, TexasF1_G2504.1, TexasF1_G27973.1
OG0000007	Texas_F1_protein	VVA40000	TexasF1_G12247.1
OG0000007	Texas_F1_protein	VVA41636	TexasF1_G2552.1, TexasF1_G16801.1
OG0000007	Texas_F1_protein	VVA38251	TexasF1_G3098.1
OG0000007	Texas_F1_protein	VVA29239	TexasF1_G24492.1, TexasF1_G2498.1, TexasF1_G5613.1, TexasF1_G2779.1, TexasF1_G12199.1
OG0000007	Texas_F1_protein	VVA35428	TexasF1_G1977.1, TexasF1_G17373.1, TexasF1_G25027.1, TexasF1_G18139.1, TexasF1_G3439.1, TexasF1_G27785.1, TexasF1_G27857.1, TexasF1_G15971.1, TexasF1_G27399.1, TexasF1_G2862.1, TexasF1_G16789.1, TexasF1_G17399.1, TexasF1_G17400.1, TexasF1_G17708.1, TexasF1_G27791.1, TexasF1_G27411.1, TexasF1_G5585.1, TexasF1_G27858.1, TexasF1_G16342.1, TexasF1_G17960.1, TexasF1_G21773.1
OG0000007	Texas_F1_protein	VVA36599	TexasF1_G906.1, TexasF1_G5594.1, TexasF1_G18006.1, TexasF1_G27794.1, TexasF1_G1118.1, TexasF1_G2794.1
OG0000008	Texas_F1_protein	VVA34727	TexasF1_G11054.1
OG0000008	Texas_F1_protein	VVA12001	TexasF1_G10631.1, TexasF1_G16802.1, TexasF1_G13502.1, TexasF1_G15757.1, TexasF1_G18846.1, TexasF1_G28120.1, TexasF1_G11858.1, TexasF1_G25002.1, TexasF1_G15454.1, TexasF1_G1449.1, TexasF1_G24618.1, TexasF1_G28529.1, TexasF1_G1122.1, TexasF1_G2480.1, TexasF1_G18335.1, TexasF1_G27877.1, TexasF1_G24909.1, TexasF1_G11744.1, TexasF1_G29567.1, TexasF1_G28237.1, TexasF1_G7382.1, TexasF1_G12402.1, TexasF1_G25024.1, TexasF1_G12718.1, TexasF1_G17473.1, TexasF1_G21154.1, TexasF1_G2409.1, TexasF1_G4507.1, TexasF1_G24740.1, TexasF1_G24448.1, TexasF1_G7405.1, TexasF1_G27874.1, TexasF1_G28374.1, TexasF1_G8490.1, TexasF1_G27903.1, TexasF1_G16415.1, TexasF1_G27771.1, TexasF1_G28148.1, TexasF1_G1980.1, TexasF1_G4943.1, TexasF1_G11738.1, TexasF1_G11319.1, TexasF1_G102.1, TexasF1_G12037.1, TexasF1_G24447.1, TexasF1_G16658.1, TexasF1_G5253.1, TexasF1_G15381.1, TexasF1_G5254.1, TexasF1_G7204.1, TexasF1_G24818.1, TexasF1_G11830.1, TexasF1_G18396.1, TexasF1_G7642.1, TexasF1_G7669.1, TexasF1_G20254.1, TexasF1_G13983.1, TexasF1_G18843.1, TexasF1_G10797.1, TexasF1_G20152.1, TexasF1_G20153.1, TexasF1_G11358.1, TexasF1_G27032.1, TexasF1_G6269.1, TexasF1_G24912.1, TexasF1_G11939.1, TexasF1_G1543.1, TexasF1_G2944.1, TexasF1_G1369.1, TexasF1_G2961.1, TexasF1_G24416.1, TexasF1_G22079.1, TexasF1_G7501.1, TexasF1_G18333.1, TexasF1_G11515.1, TexasF1_G12595.1, TexasF1_G21664.1, TexasF1_G20124.1, TexasF1_G16124.1, TexasF1_G27897.1, TexasF1_G9388.1, TexasF1_G24746.1, TexasF1_G3201.1, TexasF1_G28523.1, TexasF1_G4236.1, TexasF1_G27217.1, TexasF1_G24006.1, TexasF1_G7295.1, TexasF1_G27760.1, TexasF1_G2645.1, TexasF1_G4963.1, TexasF1_G15201.1, TexasF1_G12566.1, TexasF1_G5141.1, TexasF1_G5150.1
OG0000009	OrthoDB_Prunus_dulcis_CNAG	VVA37531, VVA28986	3755_0_000434
OG0000009	Texas_F1_protein	VVA37531	TexasF1_G5225.1, TexasF1_G28254.1
OG0000009	Texas_F1_protein	VVA28986	TexasF1_G11773.1
OG0000009	OrthoDB_Prunus_dulcis_CNAG	VVA35725	3755_0_004b20
OG0000009	OrthoDB_Prunus_dulcis_CNAG	VVA41648	3755_0_005973
OG0000009	OrthoDB_Prunus_dulcis_CNAG	VVA38163	3755_0_004649
OG0000009	Texas_F1_protein	VVA38163	TexasF1_G11214.1
OG0000009	Texas_F1_protein	VVA40652, VVA41091	TexasF1_G21712.1
OG0000009	OrthoDB_Prunus_dulcis_CNAG	VVA40652	3755_0_00246f
OG0000009	OrthoDB_Prunus_dulcis_CNAG	VVA41091	3755_0_0058c0
OG0000009	Texas_F1_protein	VVA38876	TexasF1_G11724.1, TexasF1_G22184.1, TexasF1_G15664.1, TexasF1_G28190.1, TexasF1_G26333.1, TexasF1_G10491.1, TexasF1_G25052.1
OG0000009	OrthoDB_Prunus_dulcis_CNAG	VVA38876	3755_0_004a32
OG0000009	Texas_F1_protein	VVA41065	TexasF1_G16265.1, TexasF1_G12411.1, TexasF1_G17592.1, TexasF1_G24945.1, TexasF1_G7267.1, TexasF1_G11734.1, TexasF1_G20850.1
OG0000009	OrthoDB_Prunus_dulcis_CNAG	VVA41065	3755_0_000723, 3755_0_00447c
OG0000009	OrthoDB_Prunus_dulcis_CNAG	VVA39567	3755_0_001ea6, 3755_0_002355, 3755_0_0039ee, 3755_0_004b28, 3755_0_005917, 3755_0_004585, 3755_0_001422
OG0000009	OrthoDB_Prunus_dulcis_CNAG	VVA41256	3755_0_00491f, 3755_0_004f57
OG0000009	Texas_F1_protein	VVA41256	TexasF1_G11090.1, TexasF1_G12930.1
OG0000009	Texas_F1_protein	VVA40221, VVA40195	TexasF1_G27367.1
OG0000009	OrthoDB_Prunus_dulcis_CNAG	VVA40221	3755_0_002065, 3755_0_004566, 3755_0_004a9b, 3755_0_00308e, 3755_0_0029ca
OG0000009	OrthoDB_Prunus_dulcis_CNAG	VVA40195	3755_0_0018c4, 3755_0_0053af, 3755_0_0057e9
OG0000009	OrthoDB_Prunus_dulcis_CNAG	VVA33584	3755_0_003d0b
OG0000009	Texas_F1_protein	VVA37249	TexasF1_G2033.1, TexasF1_G4336.1, TexasF1_G11696.1, TexasF1_G17531.1
OG0000009	OrthoDB_Prunus_dulcis_CNAG	VVA37249	3755_0_0035bb
OG0000009	OrthoDB_Prunus_dulcis_CNAG	VVA37758	3755_0_002288
OG0000009	Texas_F1_protein	VVA37758	TexasF1_G25299.1, TexasF1_G18311.1
OG0000009	OrthoDB_Prunus_dulcis_CNAG	VVA40659	3755_0_0025d9
OG0000009	Texas_F1_protein	VVA36686	TexasF1_G16331.1, TexasF1_G28186.1, TexasF1_G22500.1, TexasF1_G15479.1, TexasF1_G24645.1, TexasF1_G12054.1, TexasF1_G10368.1
OG0000009	OrthoDB_Prunus_dulcis_CNAG	VVA36686	3755_0_003f6b, 3755_0_003f18, 3755_0_0057e7, 3755_0_0026a5
OG0000009	OrthoDB_Prunus_dulcis_CNAG	VVA41259, VVA37759	3755_0_000104, 3755_0_0058fc, 3755_0_0058ba
OG0000009	OrthoDB_Prunus_dulcis_CNAG	VVA38466	3755_0_001e9b, 3755_0_003502
OG0000009	Texas_F1_protein	VVA39977	TexasF1_G26418.1
OG0000009	OrthoDB_Prunus_dulcis_CNAG	VVA39977	3755_0_0020a7
OG0000009	OrthoDB_Prunus_dulcis_CNAG	VVA37258	3755_0_003053
OG0000009	Texas_F1_protein	VVA37532	TexasF1_G25254.1
OG0000010	Texas_F1_protein	VVA26303	TexasF1_G23470.1
OG0000010	OrthoDB_Prunus_dulcis_CNAG	VVA26303	3755_0_00396a
OG0000010	Texas_F1_protein	VVA17024	TexasF1_G19321.1
OG0000010	Texas_F1_protein	VVA31268	TexasF1_G28257.1, TexasF1_G7377.1, TexasF1_G27669.1, TexasF1_G7459.1, TexasF1_G8664.1, TexasF1_G28133.1, TexasF1_G14929.1, TexasF1_G2577.1, TexasF1_G27034.1
OG0000010	Texas_F1_protein	VVA37915	TexasF1_G1415.1, TexasF1_G22511.1, TexasF1_G6245.1, TexasF1_G16809.1, TexasF1_G25381.1, TexasF1_G29331.1, TexasF1_G7323.1, TexasF1_G8009.1, TexasF1_G15620.1, TexasF1_G26332.1, TexasF1_G17581.1, TexasF1_G19588.1, TexasF1_G17247.1
OG0000010	Texas_F1_protein	VVA35768	TexasF1_G5656.1, TexasF1_G7735.1, TexasF1_G1748.1, TexasF1_G17427.1, TexasF1_G22431.1, TexasF1_G10367.1, TexasF1_G21269.1, TexasF1_G23413.1
OG0000010	Texas_F1_protein	VVA10670	TexasF1_G2671.1, TexasF1_G8036.1, TexasF1_G24807.1, TexasF1_G12529.1, TexasF1_G25751.1, TexasF1_G497.1, TexasF1_G22373.1, TexasF1_G808.1, TexasF1_G6951.1, TexasF1_G2558.1, TexasF1_G24021.1, TexasF1_G27951.1, TexasF1_G9012.1, TexasF1_G16353.1, TexasF1_G26664.1
OG0000010	OrthoDB_Prunus_dulcis_CNAG	VVA10670	3755_0_004a0a
OG0000011	Texas_F1_protein	VVA31345	TexasF1_G24119.1, TexasF1_G24133.1
OG0000011	OrthoDB_Prunus_dulcis_CNAG	VVA31345	3755_0_004665
OG0000011	Texas_F1_protein	VVA26206, VVA26204	TexasF1_G28047.1
OG0000011	Texas_F1_protein	VVA17393, VVA17394, VVA38285, VVA34733, VVA34672, VVA35115	TexasF1_G51.1, TexasF1_G12103.1, TexasF1_G22991.1, TexasF1_G2809.1, TexasF1_G27836.1, TexasF1_G10752.1, TexasF1_G2753.1, TexasF1_G28167.1, TexasF1_G7891.1, TexasF1_G24641.1, TexasF1_G11814.1
OG0000011	Texas_F1_protein	VVA38166	TexasF1_G17036.1
OG0000011	Texas_F1_protein	VVA33537	TexasF1_G7317.1, TexasF1_G27712.1, TexasF1_G5557.1, TexasF1_G6992.1, TexasF1_G18582.1, TexasF1_G7721.1, TexasF1_G16911.1, TexasF1_G6370.1, TexasF1_G17981.1, TexasF1_G24318.1, TexasF1_G27830.1
OG0000011	Texas_F1_protein	VVA18073	TexasF1_G2152.1, TexasF1_G7193.1
OG0000011	Texas_F1_protein	VVA17727	TexasF1_G28580.1, TexasF1_G28836.1, TexasF1_G1537.1, TexasF1_G13628.1
OG0000011	OrthoDB_Prunus_dulcis_CNAG	VVA17727	3755_0_002408
OG0000011	Texas_F1_protein	VVA28011	TexasF1_G7499.1
OG0000011	Texas_F1_protein	VVA18072, VVA18071	TexasF1_G7385.1
OG0000011	Texas_F1_protein	VVA18070	TexasF1_G21956.1
OG0000011	Texas_F1_protein	VVA19818, VVA20481	TexasF1_G15948.1, TexasF1_G28382.1, TexasF1_G8680.1, TexasF1_G17964.1, TexasF1_G24293.1, TexasF1_G17994.1, TexasF1_G28275.1, TexasF1_G26964.1, TexasF1_G17812.1, TexasF1_G19830.1, TexasF1_G24045.1, TexasF1_G15156.1, TexasF1_G18074.1, TexasF1_G11279.1
OG0000011	Texas_F1_protein	VVA28224	TexasF1_G7676.1
OG0000011	OrthoDB_Prunus_dulcis_CNAG	VVA28224	3755_0_0013f7
OG0000011	Texas_F1_protein	VVA10081	TexasF1_G11913.1
OG0000011	Texas_F1_protein	VVA26454	TexasF1_G3485.1, TexasF1_G25329.1, TexasF1_G16743.1
OG0000012	Texas_F1_protein	VVA30195	TexasF1_G11720.1, TexasF1_G17451.1, TexasF1_G15923.1
OG0000012	OrthoDB_Prunus_dulcis_CNAG	VVA30195	3755_0_0019a2
OG0000012	Texas_F1_protein	VVA31263	TexasF1_G18542.1, TexasF1_G24427.1, TexasF1_G2331.1, TexasF1_G21572.1, TexasF1_G2070.1
OG0000012	OrthoDB_Prunus_dulcis_CNAG	VVA31263	3755_0_00066d, 3755_0_0008e6, 3755_0_003a9d, 3755_0_001d1d
OG0000012	Texas_F1_protein	VVA29433, VVA40240	TexasF1_G17990.1, TexasF1_G16995.1, TexasF1_G11839.1, TexasF1_G24054.1, TexasF1_G24364.1, TexasF1_G21633.1, TexasF1_G2833.1, TexasF1_G16426.1, TexasF1_G16989.1, TexasF1_G21687.1, TexasF1_G16988.1, TexasF1_G24055.1, TexasF1_G17086.1, TexasF1_G21905.1, TexasF1_G16425.1, TexasF1_G1687.1
OG0000012	Texas_F1_protein	VVA35427	TexasF1_G7576.1
OG0000012	OrthoDB_Prunus_dulcis_CNAG	VVA35427	3755_0_003505
OG0000012	Texas_F1_protein	VVA37975	TexasF1_G2935.1, TexasF1_G2981.1, TexasF1_G4451.1, TexasF1_G21910.1, TexasF1_G25026.1, TexasF1_G2864.1, TexasF1_G13162.1
OG0000012	OrthoDB_Prunus_dulcis_CNAG	VVA34736	3755_0_0056cd
OG0000012	Texas_F1_protein	VVA34736	TexasF1_G16790.1, TexasF1_G2780.1, TexasF1_G21894.1
OG0000012	Texas_F1_protein	VVA16899, VVA35328	TexasF1_G16678.1, TexasF1_G24491.1, TexasF1_G27974.1
OG0000012	Texas_F1_protein	VVA29240	TexasF1_G15975.1
OG0000012	Texas_F1_protein	VVA41662, VVA31461	TexasF1_G20539.1, TexasF1_G21959.1, TexasF1_G2536.1, TexasF1_G2875.1, TexasF1_G4577.1, TexasF1_G16807.1, TexasF1_G7661.1
OG0000012	OrthoDB_Prunus_dulcis_CNAG	VVA41662, VVA31461	3755_0_005976
OG0000012	Texas_F1_protein	VVA38893, VVA39625	TexasF1_G7660.1, TexasF1_G16891.1, TexasF1_G20540.1, TexasF1_G21958.1, TexasF1_G27422.1, TexasF1_G17092.1, TexasF1_G23972.1
OG0000012	OrthoDB_Prunus_dulcis_CNAG	VVA38893	3755_0_00307f
OG0000012	OrthoDB_Prunus_dulcis_CNAG	VVA39625	3755_0_004bc7
OG0000014	Texas_F1_protein	VVA38547	TexasF1_G11800.1
OG0000014	Texas_F1_protein	VVA28179, VVA38595	TexasF1_G8274.1
OG0000014	OrthoDB_Prunus_dulcis_CNAG	VVA28179, VVA38595	3755_0_005064
OG0000014	Texas_F1_protein	VVA36988	TexasF1_G18105.1
OG0000014	Texas_F1_protein	VVA39916	TexasF1_G584.1
OG0000014	Texas_F1_protein	VVA40233	TexasF1_G17103.1
OG0000014	Texas_F1_protein	VVA33095	TexasF1_G11465.1
OG0000014	Texas_F1_protein	VVA37818, VVA38324	TexasF1_G21320.1
OG0000014	Texas_F1_protein	VVA37529	TexasF1_G16714.1, TexasF1_G11870.1, TexasF1_G410.1, TexasF1_G485.1, TexasF1_G28199.1, TexasF1_G7328.1, TexasF1_G27915.1, TexasF1_G24399.1, TexasF1_G27989.1, TexasF1_G28035.1, TexasF1_G28229.1, TexasF1_G2672.1, TexasF1_G24095.1, TexasF1_G28033.1, TexasF1_G3159.1, TexasF1_G11517.1, TexasF1_G11069.1, TexasF1_G28030.1, TexasF1_G24822.1, TexasF1_G16370.1, TexasF1_G21636.1, TexasF1_G24172.1, TexasF1_G22482.1, TexasF1_G17613.1, TexasF1_G24092.1, TexasF1_G21278.1, TexasF1_G21299.1, TexasF1_G18121.1, TexasF1_G22101.1, TexasF1_G7736.1, TexasF1_G11609.1, TexasF1_G11856.1, TexasF1_G12059.1, TexasF1_G17610.1, TexasF1_G25159.1, TexasF1_G27766.1, TexasF1_G24016.1, TexasF1_G2975.1, TexasF1_G3737.1, TexasF1_G7585.1, TexasF1_G7857.1, TexasF1_G11057.1, TexasF1_G28204.1, TexasF1_G16904.1
OG0000014	Texas_F1_protein	VVA41891	TexasF1_G7252.1, TexasF1_G24808.1, TexasF1_G11673.1, TexasF1_G118.1, TexasF1_G27005.1, TexasF1_G1753.1, TexasF1_G11578.1, TexasF1_G11716.1, TexasF1_G5627.1, TexasF1_G11321.1, TexasF1_G16569.1, TexasF1_G11644.1, TexasF1_G6845.1, TexasF1_G27709.1, TexasF1_G5865.1, TexasF1_G20163.1, TexasF1_G18036.1, TexasF1_G58.1, TexasF1_G352.1, TexasF1_G16925.1, TexasF1_G7947.1, TexasF1_G9294.1, TexasF1_G7284.1, TexasF1_G11797.1, TexasF1_G11460.1, TexasF1_G11621.1, TexasF1_G15357.1, TexasF1_G16564.1, TexasF1_G12361.1, TexasF1_G28323.1, TexasF1_G795.1, TexasF1_G6953.1, TexasF1_G7655.1, TexasF1_G15995.1, TexasF1_G22188.1, TexasF1_G9967.1
OG0000015	OrthoDB_Prunus_dulcis_CNAG	VVA41093, VVA23294, VVA38897, VVA25242	3755_0_002913
OG0000015	OrthoDB_Prunus_dulcis_CNAG	VVA41640	3755_0_005728
OG0000015	Texas_F1_protein	VVA41640	TexasF1_G17230.1
OG0000015	OrthoDB_Prunus_dulcis_CNAG	VVA38986, VVA32684, VVA38985, VVA35632, VVA28321, VVA27317, VVA29141, VVA27315	3755_0_0016b3
OG0000015	Texas_F1_protein	VVA32684	TexasF1_G4685.1
OG0000015	Texas_F1_protein	VVA38985, VVA35632, VVA28321	TexasF1_G24530.1
OG0000015	Texas_F1_protein	VVA27317, VVA29141	TexasF1_G26995.1
OG0000015	Texas_F1_protein	VVA27315	TexasF1_G7869.1
OG0000015	OrthoDB_Prunus_dulcis_CNAG	VVA37500	3755_0_0051f6
OG0000015	OrthoDB_Prunus_dulcis_CNAG	VVA37499	3755_0_0002ea
OG0000015	Texas_F1_protein	VVA37499	TexasF1_G7109.1, TexasF1_G16594.1
OG0000015	OrthoDB_Prunus_dulcis_CNAG	VVA41152	3755_0_003dff
OG0000015	Texas_F1_protein	VVA41152	TexasF1_G1277.1
OG0000015	OrthoDB_Prunus_dulcis_CNAG	VVA41343	3755_0_005912
OG0000015	Texas_F1_protein	VVA41343	TexasF1_G28087.1
OG0000015	Texas_F1_protein	VVA29435	TexasF1_G4152.1, TexasF1_G17821.1, TexasF1_G757.1, TexasF1_G7727.1
OG0000015	Texas_F1_protein	VVA33241	TexasF1_G7122.1, TexasF1_G1809.1, TexasF1_G18594.1, TexasF1_G1808.1, TexasF1_G19111.1, TexasF1_G28542.1, TexasF1_G5466.1, TexasF1_G16033.1, TexasF1_G16032.1, TexasF1_G23094.1, TexasF1_G27313.1
OG0000015	Texas_F1_protein	VVA32942	TexasF1_G7108.1, TexasF1_G11474.1
