Orthogroup	Species	OrthoDB_Prunus_dulcis_CNAG	Orthologs
OG0000005	Texas_F1_protein	3755_0_0058ee	TexasF1_G2876.1
OG0000005	Texas_F1_protein	3755_0_000656	TexasF1_G17074.1, TexasF1_G9027.1, TexasF1_G1473.1, TexasF1_G7326.1, TexasF1_G2843.1, TexasF1_G18008.1, TexasF1_G5604.1, TexasF1_G16530.1
OG0000005	Texas_F1_protein	3755_0_002a0e, 3755_0_0037d4, 3755_0_0056ca, 3755_0_00570a	TexasF1_G1978.1, TexasF1_G2980.1
OG0000005	Texas_F1_protein	3755_0_0036d2, 3755_0_0056a2, 3755_0_004113	TexasF1_G27860.1, TexasF1_G27975.1
OG0000005	Texas_F1_protein	3755_0_005964	TexasF1_G18138.1, TexasF1_G16293.1
OG0000005	Texas_F1_protein	3755_0_0038b9, 3755_0_00590c, 3755_0_003a6e	TexasF1_G16791.1
OG0000005	Texas_F1_protein	3755_0_000a60	TexasF1_G3096.1, TexasF1_G4452.1, TexasF1_G27400.1, TexasF1_G16344.1, TexasF1_G21893.1
OG0000005	Texas_F1_protein	3755_0_001e00, 3755_0_005750	TexasF1_G5586.1, TexasF1_G24488.1, TexasF1_G13163.1, TexasF1_G27787.1
OG0000005	Texas_F1_protein	3755_0_0022fa	TexasF1_G12201.1, TexasF1_G12249.1, TexasF1_G16800.1
OG0000005	Texas_F1_protein	3755_0_004ef5	TexasF1_G62.1, TexasF1_G2071.1, TexasF1_G2668.1, TexasF1_G18133.1, TexasF1_G11897.1, TexasF1_G27955.1, TexasF1_G2506.1
OG0000005	Texas_F1_protein	3755_0_0057b3	TexasF1_G2523.1, TexasF1_G28231.1, TexasF1_G21585.1, TexasF1_G22299.1, TexasF1_G13075.1, TexasF1_G7694.1, TexasF1_G17224.1, TexasF1_G6400.1, TexasF1_G6393.1
OG0000005	Texas_F1_protein	3755_0_000ea8	TexasF1_G4576.1, TexasF1_G388.1, TexasF1_G514.1, TexasF1_G12221.1, TexasF1_G7452.1
OG0000005	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_000ea8	VVA16793
OG0000005	Texas_F1_protein	3755_0_000498	TexasF1_G22170.1
OG0000008	Texas_F1_protein	3755_0_0047a5	TexasF1_G7530.1, TexasF1_G16434.1, TexasF1_G3531.1, TexasF1_G5503.1, TexasF1_G17037.1, TexasF1_G6977.1, TexasF1_G16435.1, TexasF1_G28159.1, TexasF1_G29633.1, TexasF1_G26892.1, TexasF1_G21447.1, TexasF1_G28150.1, TexasF1_G1477.1, TexasF1_G20154.1, TexasF1_G24043.1, TexasF1_G26412.1, TexasF1_G26417.1
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_000434	VVA37531, VVA28986
OG0000009	Texas_F1_protein	3755_0_000434	TexasF1_G5225.1, TexasF1_G28254.1, TexasF1_G11773.1
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_004b20	VVA35725
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_005973	VVA41648
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_004649	VVA38163
OG0000009	Texas_F1_protein	3755_0_004649	TexasF1_G11214.1
OG0000009	Texas_F1_protein	3755_0_004b54	TexasF1_G24033.1
OG0000009	Texas_F1_protein	3755_0_00246f, 3755_0_0058c0	TexasF1_G21712.1
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_00246f	VVA40652
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_0058c0	VVA41091
OG0000009	Texas_F1_protein	3755_0_004a32	TexasF1_G11724.1, TexasF1_G22184.1, TexasF1_G15664.1, TexasF1_G28190.1, TexasF1_G26333.1, TexasF1_G10491.1, TexasF1_G25052.1
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_004a32	VVA38876
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_000723, 3755_0_00447c	VVA41065
OG0000009	Texas_F1_protein	3755_0_000723	TexasF1_G11734.1
OG0000009	Texas_F1_protein	3755_0_00447c	TexasF1_G20850.1
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_001ea6, 3755_0_002355, 3755_0_0039ee, 3755_0_004b28, 3755_0_005917, 3755_0_004585, 3755_0_001422	VVA39567
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_00491f, 3755_0_004f57	VVA41256
OG0000009	Texas_F1_protein	3755_0_00491f	TexasF1_G11090.1
OG0000009	Texas_F1_protein	3755_0_004f57	TexasF1_G12930.1
OG0000009	Texas_F1_protein	3755_0_002065, 3755_0_004566, 3755_0_004a9b, 3755_0_00308e, 3755_0_0029ca, 3755_0_0018c4, 3755_0_0053af, 3755_0_0057e9	TexasF1_G27367.1
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_002065, 3755_0_004566, 3755_0_004a9b, 3755_0_00308e, 3755_0_0029ca	VVA40221
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_0018c4, 3755_0_0053af, 3755_0_0057e9	VVA40195
OG0000009	Texas_F1_protein	3755_0_0000a7	TexasF1_G24621.1
OG0000009	Texas_F1_protein	3755_0_004a95	TexasF1_G24603.1
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_003d0b	VVA33584
OG0000009	Texas_F1_protein	3755_0_0035bb	TexasF1_G2033.1, TexasF1_G4336.1, TexasF1_G11696.1, TexasF1_G17531.1
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_0035bb	VVA37249
OG0000009	Texas_F1_protein	3755_0_002f11	TexasF1_G3702.1
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_002288	VVA37758
OG0000009	Texas_F1_protein	3755_0_002288	TexasF1_G25299.1, TexasF1_G18311.1
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_0025d9	VVA40659
OG0000009	Texas_F1_protein	3755_0_003f6b, 3755_0_003f18, 3755_0_0057e7, 3755_0_0026a5	TexasF1_G16331.1, TexasF1_G28186.1, TexasF1_G22500.1, TexasF1_G15479.1, TexasF1_G24645.1, TexasF1_G12054.1, TexasF1_G10368.1
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_003f6b, 3755_0_003f18, 3755_0_0057e7, 3755_0_0026a5	VVA36686
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_000104, 3755_0_0058fc, 3755_0_0058ba	VVA41259, VVA37759
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_001e9b, 3755_0_003502	VVA38466
OG0000009	Texas_F1_protein	3755_0_0020a7	TexasF1_G26418.1
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_0020a7	VVA39977
OG0000009	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_003053	VVA37258
OG0000009	Texas_F1_protein	3755_0_0006c0	TexasF1_G2616.1
OG0000010	Texas_F1_protein	3755_0_00396a	TexasF1_G23470.1
OG0000010	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_00396a	VVA26303
OG0000010	Texas_F1_protein	3755_0_000def	TexasF1_G4757.1
OG0000010	Texas_F1_protein	3755_0_001b8b	TexasF1_G7851.1, TexasF1_G15013.1
OG0000010	Texas_F1_protein	3755_0_004a0a	TexasF1_G2671.1, TexasF1_G8036.1, TexasF1_G24807.1, TexasF1_G12529.1, TexasF1_G25751.1, TexasF1_G497.1, TexasF1_G22373.1, TexasF1_G808.1, TexasF1_G6951.1, TexasF1_G2558.1, TexasF1_G24021.1, TexasF1_G27951.1, TexasF1_G9012.1, TexasF1_G16353.1, TexasF1_G26664.1
OG0000010	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_004a0a	VVA10670
OG0000011	Texas_F1_protein	3755_0_004665	TexasF1_G24119.1, TexasF1_G24133.1
OG0000011	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_004665	VVA31345
OG0000011	Texas_F1_protein	3755_0_002408	TexasF1_G28580.1, TexasF1_G28836.1, TexasF1_G1537.1, TexasF1_G13628.1
OG0000011	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_002408	VVA17727
OG0000011	Texas_F1_protein	3755_0_0013f7	TexasF1_G7676.1
OG0000011	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_0013f7	VVA28224
OG0000012	Texas_F1_protein	3755_0_0019a2	TexasF1_G11720.1, TexasF1_G17451.1, TexasF1_G15923.1
OG0000012	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_0019a2	VVA30195
OG0000012	Texas_F1_protein	3755_0_00066d, 3755_0_0008e6, 3755_0_003a9d, 3755_0_001d1d	TexasF1_G18542.1, TexasF1_G24427.1, TexasF1_G2331.1, TexasF1_G21572.1, TexasF1_G2070.1
OG0000012	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_00066d, 3755_0_0008e6, 3755_0_003a9d, 3755_0_001d1d	VVA31263
OG0000012	Texas_F1_protein	3755_0_00594a	TexasF1_G5462.1, TexasF1_G21900.1
OG0000012	Texas_F1_protein	3755_0_003505	TexasF1_G7576.1
OG0000012	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_003505	VVA35427
OG0000012	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_0056cd	VVA34736
OG0000012	Texas_F1_protein	3755_0_0056cd	TexasF1_G16790.1, TexasF1_G2780.1, TexasF1_G21894.1
OG0000012	Texas_F1_protein	3755_0_005976	TexasF1_G20539.1, TexasF1_G21959.1, TexasF1_G2536.1, TexasF1_G2875.1, TexasF1_G4577.1, TexasF1_G16807.1, TexasF1_G7661.1
OG0000012	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_005976	VVA41662, VVA31461
OG0000012	Texas_F1_protein	3755_0_00307f, 3755_0_004bc7	TexasF1_G7660.1, TexasF1_G16891.1, TexasF1_G20540.1, TexasF1_G21958.1, TexasF1_G27422.1, TexasF1_G17092.1, TexasF1_G23972.1
OG0000012	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_00307f	VVA38893
OG0000012	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_004bc7	VVA39625
OG0000014	Texas_F1_protein	3755_0_005064	TexasF1_G8274.1
OG0000014	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_005064	VVA28179, VVA38595
OG0000015	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_002913	VVA41093, VVA23294, VVA38897, VVA25242
OG0000015	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_005728	VVA41640
OG0000015	Texas_F1_protein	3755_0_005728	TexasF1_G17230.1
OG0000015	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_0016b3	VVA38986, VVA32684, VVA38985, VVA35632, VVA28321, VVA27317, VVA29141, VVA27315
OG0000015	Texas_F1_protein	3755_0_0016b3	TexasF1_G4685.1, TexasF1_G24530.1, TexasF1_G26995.1, TexasF1_G7869.1
OG0000015	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_0051f6	VVA37500
OG0000015	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_0002ea	VVA37499
OG0000015	Texas_F1_protein	3755_0_0002ea	TexasF1_G7109.1, TexasF1_G16594.1
OG0000015	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_003dff	VVA41152
OG0000015	Texas_F1_protein	3755_0_003dff	TexasF1_G1277.1
OG0000015	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_005912	VVA41343
OG0000015	Texas_F1_protein	3755_0_005912	TexasF1_G28087.1
OG0000015	Texas_F1_protein	3755_0_003f99	TexasF1_G11782.1, TexasF1_G22027.1
OG0000015	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_004d99	VVA31129, VVA33993
OG0000015	Texas_F1_protein	3755_0_004d99	TexasF1_G12128.1, TexasF1_G19112.1, TexasF1_G28543.1, TexasF1_G11475.1, TexasF1_G5468.1, TexasF1_G26996.1, TexasF1_G24166.1, TexasF1_G11335.1, TexasF1_G22028.1, TexasF1_G17423.1, TexasF1_G7107.1, TexasF1_G11783.1, TexasF1_G24423.1, TexasF1_G16593.1
OG0000017	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_005746	VVA37969, VVA39664
OG0000017	Texas_F1_protein	3755_0_005746	TexasF1_G21396.1
OG0000018	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_003953, 3755_0_0058a9	VVA37124
OG0000018	Texas_F1_protein	3755_0_003953, 3755_0_0058a9	TexasF1_G7664.1, TexasF1_G488.1, TexasF1_G79.1, TexasF1_G2525.1, TexasF1_G18537.1, TexasF1_G390.1, TexasF1_G64.1, TexasF1_G22168.1, TexasF1_G18540.1, TexasF1_G21835.1, TexasF1_G10490.1, TexasF1_G11182.1, TexasF1_G2178.1, TexasF1_G11717.1, TexasF1_G4574.1, TexasF1_G12325.1, TexasF1_G21814.1, TexasF1_G9025.1, TexasF1_G28222.1, TexasF1_G2503.1, TexasF1_G7592.1, TexasF1_G15978.1, TexasF1_G21946.1, TexasF1_G2979.1, TexasF1_G27977.1, TexasF1_G16793.1, TexasF1_G2556.1, TexasF1_G16343.1, TexasF1_G16798.1, TexasF1_G7.1, TexasF1_G4022.1, TexasF1_G6618.1, TexasF1_G29283.1, TexasF1_G6621.1, TexasF1_G15947.1, TexasF1_G20978.1, TexasF1_G12080.1, TexasF1_G17033.1, TexasF1_G18136.1, TexasF1_G5588.1, TexasF1_G27789.1, TexasF1_G12026.1, TexasF1_G24938.1, TexasF1_G15973.1, TexasF1_G21911.1, TexasF1_G21776.1, TexasF1_G2867.1, TexasF1_G2858.1, TexasF1_G3441.1, TexasF1_G7573.1, TexasF1_G21890.1
OG0000018	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_00450c, 3755_0_0055a3, 3755_0_0057b2, 3755_0_0001ee, 3755_0_0046f5, 3755_0_0007e9, 3755_0_0038af, 3755_0_00395a, 3755_0_004267, 3755_0_0059a2	VVA41627, VVA41778, VVA39876, VVA40927, VVA27899, VVA38785, VVA40879, VVA40131, VVA40980, VVA41227
OG0000018	Texas_F1_protein	3755_0_00450c	TexasF1_G21575.1
OG0000018	Texas_F1_protein	3755_0_0055a3	TexasF1_G2227.1, TexasF1_G11895.1, TexasF1_G18135.1, TexasF1_G21565.1, TexasF1_G5203.1, TexasF1_G7064.1, TexasF1_G11052.1, TexasF1_G21961.1, TexasF1_G12988.1, TexasF1_G28091.1, TexasF1_G24785.1, TexasF1_G12319.1, TexasF1_G24480.1, TexasF1_G2878.1, TexasF1_G2320.1, TexasF1_G17211.1, TexasF1_G22241.1, TexasF1_G16653.1, TexasF1_G2670.1, TexasF1_G21386.1
OG0000018	Texas_F1_protein	3755_0_0046f5	TexasF1_G24486.1
OG0000018	Texas_F1_protein	3755_0_0007e9, 3755_0_0038af, 3755_0_00395a	TexasF1_G17072.1
OG0000018	Texas_F1_protein	3755_0_0059a2	TexasF1_G2796.1, TexasF1_G11948.1
OG0000019	Compara_Prunus_dulcis.ALMONDv2.pep.all	3755_0_0058a2	VVA35047, VVA39240
OG0000019	Texas_F1_protein	3755_0_0058a2	TexasF1_G155.1
