Orthogroup	Species	Prunus_armeniaca_Marouch_n14_peptide	Orthologs
OG0000000	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G320800.t1.p1_1, PruarM.4G216200.t1.p1_1, PruarM.3G068500.t1.p1_1, PruarM.3G329600.t1.p1_1, PruarM.1G701500.t1.p1_1, PruarM.5G155000.t1.p1_1, PruarM.1G406700.t1.p1_1, PruarM.4G394900.t1.p1_1, PruarM.2G075400.t1.p1_1, PruarM.3G281700.t1.p1_1, PruarM.6G199300.t1.p1_1	36596_0_0044b1
OG0000000	OrthoDB_Prunus_armeniaca_Orared	PruarM.4G325000.t1.p1_1, PruarM.6G261600.t1.p1_1, PruarM.2G276100.t1.p1_1, PruarM.7G004000.t1.p1_1, PruarM.4G071800.t1.p1_1, PruarM.5G178300.t1.p1_1	36596_0_004716
OG0000000	OrthoDB_Prunus_armeniaca_Orared	PruarM.5G055400.t1.p1_1, PruarM.7G181800.t1.p1_1, PruarM.1G120500.t1.p1_1, PruarM.2G061600.t1.p1_1, PruarM.6G318900.t1.p1_1, PruarM.2G167600.t1.p1_1	36596_0_000058
OG0000000	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G291700.t1.p1_1, PruarM.2G042800.t1.p1_1, PruarM.2G042900.t1.p1_1, PruarM.2G227200.t1.p1_1, PruarM.1G635300.t1.p1_1, PruarM.6G301400.t1.p1_1, PruarM.3G092600.t1.p1_1, PruarM.3G034100.t1.p1_1, PruarM.7G114700.t1.p1_1, PruarM.1G056100.t1.p1_1, PruarM.7G124500.t1.p1_1, PruarM.1G214300.t1.p1_1, PruarM.2G051200.t1.p1_1, PruarM.2G000700.t1.p1_1, PruarM.2G178800.t1.p1_1, PruarM.1G197500.t1.p1_1, PruarM.7G144100.t1.p1_1, PruarM.7G033700.t1.p1_1, PruarM.4G427700.t1.p1_1, PruarM.5G049800.t1.p1_1, PruarM.5G006800.t1.p1_1, PruarM.3G083400.t1.p1_1, PruarM.1G284200.t1.p1_1, PruarM.2G058600.t1.p1_1, PruarM.4G135000.t1.p1_1, PruarM.1G810100.t1.p1_1, PruarM.3G220500.t1.p1_1, PruarM.4G414300.t1.p1_1, PruarM.4G414700.t1.p1_1, PruarM.4G414500.t1.p1_1, PruarM.1G157800.t1.p1_1, PruarM.6G435300.t1.p1_1, PruarM.7G113900.t1.p1_1, PruarM.3G221300.t1.p1_1, PruarM.4G412200.t1.p1_1, PruarM.2G035500.t1.p1_1, PruarM.6G318300.t1.p1_1, PruarM.2G144900.t1.p1_1, PruarM.3G332800.t1.p1_1, PruarM.6G034700.t1.p1_1, PruarM.1G657800.t1.p1_1, PruarM.2G069300.t1.p1_1, PruarM.2G069400.t1.p1_1, PruarM.7G144200.t1.p1_1, PruarM.3G113200.t1.p1_1, PruarM.4G193900.t1.p1_1, PruarM.4G301900.t1.p1_1, PruarM.2G145000.t1.p1_1, PruarM.4G114500.t1.p1_1, PruarM.7G077700.t1.p1_1, PruarM.1G782500.t1.p1_1, PruarM.5G012700.t1.p1_1, PruarM.3G113100.t1.p1_1, PruarM.2G051100.t1.p1_1, PruarM.1G284300.t1.p1_1, PruarM.4G332300.t1.p1_1, PruarM.3G138500.t1.p1_1, PruarM.4G071900.t1.p1_1, PruarM.7G117600.t1.p1_1, PruarM.8G152000.t1.p1_1, PruarM.4G248900.t1.p1_1, PruarM.3G089200.t1.p1_1, PruarM.4G035400.t1.p1_1, PruarM.7G161400.t1.p1_1, PruarM.3G113000.t1.p1_1, PruarM.4G346300.t1.p1_1, PruarM.6G318200.t1.p1_1, PruarM.6G318200.t2.p1_1, PruarM.8G040700.t1.p1_1, PruarM.5G178100.t1.p1_1, PruarM.6G318000.t1.p1_1, PruarM.1G118400.t1.p1_1, PruarM.1G657700.t1.p1_1, PruarM.1G657700.t2.p1_1, PruarM.5G115100.t1.p1_1, PruarM.6G034600.t1.p1_1, PruarM.5G117800.t1.p1_1, PruarM.6G140600.t1.p1_1, PruarM.8G055200.t1.p1_1, PruarM.4G414100.t1.p1_1, PruarM.7G040000.t1.p1_1, PruarM.7G113800.t1.p1_1, PruarM.1G283400.t1.p1_1, PruarM.1G723100.t1.p1_1, PruarM.6G257500.t1.p1_1, PruarM.7G117500.t1.p1_1, PruarM.6G140700.t1.p1_1, PruarM.6G310600.t1.p1_1, PruarM.1G130700.t1.p1_1, PruarM.1G130700.t2.p1_1, PruarM.6G023800.t1.p1_1, PruarM.4G193800.t1.p1_1, PruarM.4G324800.t1.p1_1, PruarM.6G308600.t1.p1_1, PruarM.4G346400.t1.p1_1, PruarM.3G221200.t1.p1_1, PruarM.6G435200.t1.p1_1, PruarM.5G117700.t1.p1_1, PruarM.6G023200.t1.p1_1, PruarM.7G288300.t2.p1_1, PruarM.8G197200.t1.p1_1, PruarM.1G118500.t1.p1_1, PruarM.1G118900.t1.p1_1, PruarM.1G118600.t1.p1_1, PruarM.1G410600.t1.p1_1, PruarM.1G157900.t1.p1_1, PruarM.2G035600.t1.p1_1, PruarM.2G070000.t1.p1_1, PruarM.2G070000.t2.p1_1, PruarM.2G069900.t1.p1_1, PruarM.5G117600.t1.p1_1, PruarM.1G283500.t1.p1_1, PruarM.2G094400.t1.p1_1, PruarM.4G367800.t1.p1_1, PruarM.3G248100.t1.p1_1, PruarM.7G060400.t1.p1_1, PruarM.6G265100.t1.p1_1, PruarM.2G072300.t1.p1_1, PruarM.3G090100.t1.p1_1, PruarM.2G368800.t1.p1_1, PruarM.3G089300.t1.p1_1, PruarM.3G138400.t1.p1_1, PruarM.6G140500.t1.p1_1, PruarM.4G324900.t1.p1_1, PruarM.4G346500.t1.p1_1, PruarM.4G238700.t1.p1_1, PruarM.1G170200.t1.p1_1, PruarM.6G257400.t1.p1_1, PruarM.6G257400.t2.p1_1, PruarM.8G013800.t1.p1_1, PruarM.4G414200.t1.p1_1, PruarM.4G414400.t1.p1_1, PruarM.4G414600.t1.p1_1, PruarM.2G219900.t1.p1_1, PruarM.4G303500.t1.p1_1, PruarM.7G161300.t1.p1_1, PruarM.1G052200.t1.p1_1, PruarM.1G397500.t1.p1_1, PruarM.1G782400.t1.p1_1, PruarM.1G723000.t1.p1_1, PruarM.4G208100.t1.p1_1, PruarM.2G321600.t1.p1_1, PruarM.3G090000.t1.p1_1, PruarM.4G072000.t1.p1_1, PruarM.8G013900.t1.p1_1, PruarM.1G185900.t1.p1_1, PruarM.4G248800.t1.p1_1, PruarM.1G186000.t1.p1_1, PruarM.4G302000.t1.p1_1, PruarM.7G170400.t1.p1_1, PruarM.1G234000.t1.p1_1	36596_0_0061da
OG0000000	OrthoDB_Prunus_armeniaca_Orared	PruarM.2G075500.t1.p1_1, PruarM.2G037400.t1.p1_1, PruarM.7G031000.t1.p1_1, PruarM.8G053800.t1.p1_1, PruarM.2G149600.t1.p1_1, PruarM.2G004400.t1.p1_1, PruarM.7G024100.t2.p1_1, PruarM.7G024100.t1.p1_1, PruarM.8G069300.t1.p1_1, PruarM.3G168700.t1.p1_1, PruarM.6G119400.t1.p1_1, PruarM.1G098200.t1.p1_1, PruarM.5G055700.t1.p1_1, PruarM.5G160300.t1.p1_1, PruarM.1G512600.t1.p1_1, PruarM.2G059400.t1.p1_1, PruarM.1G098900.t1.p1_1, PruarM.8G042100.t1.p1_1, PruarM.1G047800.t1.p1_1, PruarM.1G385900.t1.p1_1, PruarM.6G139500.t1.p1_1, PruarM.2G078800.t1.p1_1, PruarM.3G289000.t1.p1_1, PruarM.2G225300.t1.p1_1, PruarM.5G022400.t1.p1_1, PruarM.4G263500.t1.p1_1, PruarM.4G063100.t1.p1_1, PruarM.6G304700.t1.p1_1, PruarM.1G648700.t1.p1_1, PruarM.4G341200.t1.p1_1, PruarM.4G405700.t1.p1_1, PruarM.8G008900.t1.p1_1, PruarM.8G010800.t1.p1_1, PruarM.8G010100.t1.p1_1, PruarM.6G079000.t1.p1_1, PruarM.8G262800.t1.p1_1, PruarM.5G093500.t1.p1_1, PruarM.1G226800.t1.p1_1, PruarM.2G225400.t1.p1_1, PruarM.4G063200.t1.p1_1, PruarM.7G069700.t1.p1_1, PruarM.6G078900.t1.p1_1, PruarM.2G213800.t1.p1_1, PruarM.2G033300.t1.p1_1, PruarM.7G049200.t1.p1_1, PruarM.4G301800.t1.p1_1, PruarM.5G094400.t1.p1_1, PruarM.7G036400.t1.p1_1, PruarM.3G119900.t1.p1_1, PruarM.4G278000.t1.p1_1	36596_0_0015a2
OG0000000	OrthoDB_Prunus_armeniaca_Orared	PruarM.7G227300.t1.p1_1, PruarM.6G380000.t1.p1_1, PruarM.2G243700.t1.p1_1, PruarM.8G152500.t1.p1_1, PruarM.8G152600.t1.p1_1, PruarM.1G722300.t1.p1_1	36596_0_004305
OG0000000	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G088900.t1.p1_1, PruarM.4G452000.t1.p1_1, PruarM.1G197000.t1.p1_1, PruarM.3G015700.t2.p1_1, PruarM.4G452100.t1.p1_1, PruarM.1G197100.t1.p1_1, PruarM.3G015700.t1.p1_1, PruarM.2G327000.t1.p1_1, PruarM.5G034100.t1.p1_1, PruarM.8G082500.t1.p1_1, PruarM.1G240700.t1.p1_1, PruarM.2G047000.t1.p1_1, PruarM.2G046900.t1.p1_1, PruarM.2G138500.t1.p1_1, PruarM.2G138600.t1.p1_1, PruarM.8G035600.t1.p1_1, PruarM.1G240800.t1.p1_1, PruarM.8G092800.t1.p1_1, PruarM.5G137400.t1.p1_1, PruarM.4G347800.t1.p1_1, PruarM.7G186200.t1.p1_1, PruarM.1G214500.t1.p1_1, PruarM.2G071200.t1.p1_1, PruarM.2G392700.t1.p1_1, PruarM.1G214600.t1.p1_1, PruarM.1G214700.t1.p1_1, PruarM.2G071300.t1.p1_1, PruarM.4G206000.t1.p1_1, PruarM.4G205900.t1.p1_1, PruarM.2G109200.t1.p1_1, PruarM.4G151800.t1.p1_1, PruarM.2G130500.t1.p1_1, PruarM.1G418500.t1.p1_1, PruarM.2G130600.t1.p1_1, PruarM.3G121500.t1.p1_1, PruarM.3G121500.t2.p1_1, PruarM.3G121500.t3.p1_1, PruarM.5G017000.t1.p1_1, PruarM.1G444200.t1.p1_1, PruarM.6G408800.t1.p1_1, PruarM.2G243800.t1.p1_1, PruarM.2G016000.t1.p1_1, PruarM.2G277700.t1.p1_1, PruarM.6G231900.t1.p1_1, PruarM.1G089200.t1.p1_1, PruarM.5G221200.t1.p1_1, PruarM.3G158100.t1.p1_1, PruarM.1G238700.t1.p1_1, PruarM.1G200100.t3.p1_1, PruarM.1G200100.t2.p1_1, PruarM.1G200100.t4.p1_1, PruarM.1G200100.t1.p1_1, PruarM.7G013100.t1.p1_1, PruarM.7G013200.t2.p1_1, PruarM.7G013200.t1.p1_1, PruarM.6G212200.t1.p1_1, PruarM.1G204100.t1.p1_1, PruarM.2G277600.t1.p1_1, PruarM.6G151100.t1.p1_1, PruarM.1G049300.t1.p1_1, PruarM.1G049400.t1.p1_1, PruarM.1G235000.t1.p1_1, PruarM.4G176500.t1.p1_1, PruarM.5G036000.t1.p1_1, PruarM.1G775300.t1.p1_1, PruarM.1G775400.t1.p1_1, PruarM.2G185600.t1.p1_1, PruarM.8G079300.t1.p1_1, PruarM.3G198100.t1.p1_1, PruarM.3G026400.t1.p1_1, PruarM.3G169900.t1.p1_1, PruarM.3G026300.t1.p1_1, PruarM.5G137100.t1.p1_1, PruarM.5G137100.t2.p1_1, PruarM.1G775500.t1.p1_1, PruarM.3G337900.t1.p1_1, PruarM.4G177000.t1.p1_1, PruarM.3G327600.t1.p1_1, PruarM.4G177100.t1.p1_1, PruarM.7G063300.t1.p2_1, PruarM.3G327500.t1.p2_1, PruarM.1G066200.t1.p1_1, PruarM.8G143300.t1.p1_1, PruarM.2G197800.t1.p1_1, PruarM.4G215300.t1.p1_1, PruarM.4G215600.t1.p1_1, PruarM.4G215900.t1.p1_1, PruarM.4G215700.t1.p1_1, PruarM.5G019700.t1.p1_1, PruarM.6G151500.t1.p1_1, PruarM.3G081800.t1.p1_1, PruarM.8G181500.t1.p1_1, PruarM.1G403500.t1.p1_1, PruarM.1G477100.t1.p1_1, PruarM.6G408700.t1.p1_1, PruarM.7G291500.t1.p1_1, PruarM.6G413600.t1.p1_1, PruarM.8G191500.t1.p1_1, PruarM.4G326200.t1.p1_1, PruarM.7G117700.t1.p1_1, PruarM.3G145400.t1.p1_1, PruarM.4G326300.t1.p1_1, PruarM.7G117800.t1.p1_1, PruarM.6G376600.t1.p1_1, PruarM.4G006700.t1.p1_1, PruarM.7G339200.t1.p1_1, PruarM.1G271600.t1.p1_1, PruarM.2G381100.t1.p1_1, PruarM.2G381000.t1.p1_1, PruarM.4G006900.t1.p1_1, PruarM.2G381200.t1.p1_1	36596_0_0024c0
OG0000003	OrthoDB_Prunus_armeniaca_Orared	PruarM.4G234800.t1.p1_1	36596_0_000ad1
OG0000003	OrthoDB_Prunus_armeniaca_Orared	PruarM.2G297400.t1.p1_1, PruarM.5G164700.t1.p1_1, PruarM.8G152900.t1.p1_1, PruarM.3G113900.t1.p1_1, PruarM.4G063800.t1.p1_1, PruarM.4G064200.t1.p1_1	36596_0_007010
OG0000003	OrthoDB_Prunus_armeniaca_Orared	PruarM.6G284500.t1.p1_1, PruarM.1G181000.t2.p1_1, PruarM.1G181000.t1.p1_1, PruarM.1G306800.t1.p1_1, PruarM.2G209800.t1.p1_1, PruarM.4G412600.t1.p1_1, PruarM.6G328500.t1.p1_1, PruarM.8G005900.t1.p1_1, PruarM.8G036900.t1.p1_1, PruarM.2G066100.t1.p1_1, PruarM.2G336800.t1.p1_1, PruarM.8G265800.t1.p1_1, PruarM.8G265900.t1.p1_1, PruarM.2G336900.t2.p1_1, PruarM.2G336900.t1.p1_1, PruarM.8G265700.t1.p1_1, PruarM.2G221400.t1.p1_1, PruarM.2G221500.t1.p1_1, PruarM.6G328700.t1.p1_1	36596_0_001e38
OG0000003	OrthoDB_Prunus_armeniaca_Orared	PruarM.4G439600.t1.p1_1, PruarM.1G115200.t1.p1_1, PruarM.4G440600.t1.p1_1, PruarM.3G205400.t1.p1_1, PruarM.4G437000.t1.p1_1, PruarM.7G055100.t1.p1_1, PruarM.7G055200.t1.p1_1, PruarM.6G026800.t1.p1_1, PruarM.3G205500.t1.p1_1, PruarM.1G190600.t1.p1_1, PruarM.2G077700.t1.p1_1, PruarM.1G781100.t1.p1_1, PruarM.1G781500.t2.p1_1, PruarM.1G781500.t1.p1_1, PruarM.2G021500.t1.p1_1, PruarM.2G021400.t1.p1_1, PruarM.5G093600.t1.p1_1, PruarM.7G015400.t1.p1_1, PruarM.2G021600.t1.p1_1, PruarM.1G190700.t1.p1_1, PruarM.2G077900.t1.p1_1, PruarM.2G077800.t1.p1_1, PruarM.2G078000.t1.p1_1, PruarM.6G283000.t1.p1_1, PruarM.6G202800.t1.p1_1, PruarM.3G100600.t1.p1_1, PruarM.6G202900.t1.p1_1, PruarM.6G026900.t1.p1_1, PruarM.5G115000.t1.p1_1, PruarM.6G161900.t1.p1_1, PruarM.6G256000.t1.p1_1, PruarM.6G282800.t1.p1_1, PruarM.2G209700.t1.p1_1, PruarM.6G255800.t1.p1_1, PruarM.2G209900.t1.p1_1, PruarM.5G009400.t1.p1_1, PruarM.4G439700.t1.p1_1, PruarM.1G111300.t1.p1_1, PruarM.4G336100.t1.p1_1, PruarM.1G111400.t1.p1_1, PruarM.1G111500.t1.p1_1, PruarM.4G439500.t1.p1_1, PruarM.4G071600.t1.p1_1, PruarM.4G071600.t2.p1_1, PruarM.5G189500.t1.p1_1, PruarM.7G013700.t1.p1_1, PruarM.5G041000.t1.p1_1, PruarM.8G009300.t1.p1_1, PruarM.4G091000.t1.p1_1, PruarM.6G143900.t1.p1_1, PruarM.4G091100.t1.p1_1, PruarM.5G142000.t1.p1_1, PruarM.5G009300.t1.p1_1, PruarM.7G173300.t1.p1_1	36596_0_006942
OG0000003	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G249700.t1.p1_1, PruarM.4G379700.t1.p1_1, PruarM.1G249800.t1.p1_1, PruarM.1G249900.t1.p1_1, PruarM.6G119900.t1.p1_1, PruarM.6G121800.t1.p1_1, PruarM.4G379500.t1.p1_1, PruarM.6G120100.t1.p1_1, PruarM.6G122000.t1.p1_1, PruarM.3G123100.t1.p1_1, PruarM.2G100500.t1.p1_1, PruarM.3G123000.t1.p1_1, PruarM.2G100400.t1.p1_1, PruarM.2G246900.t1.p1_1, PruarM.4G399300.t1.p1_1, PruarM.7G033200.t1.p1_1, PruarM.2G021700.t1.p1_1, PruarM.3G115300.t1.p1_1, PruarM.1G708000.t2.p1_1, PruarM.1G708100.t1.p1_1, PruarM.8G209400.t1.p1_1, PruarM.4G108100.t1.p1_1, PruarM.5G106200.t2.p1_1, PruarM.5G106200.t1.p1_1, PruarM.2G112000.t1.p1_1, PruarM.4G405200.t1.p1_1, PruarM.8G120400.t1.p1_1, PruarM.4G108000.t1.p1_1, PruarM.2G111900.t1.p1_1, PruarM.4G107900.t1.p1_1, PruarM.5G106100.t1.p1_1, PruarM.1G707900.t1.p1_1, PruarM.4G405100.t1.p1_1	36596_0_003d49
OG0000003	OrthoDB_Prunus_armeniaca_Orared	PruarM.1G571200.t1.p1_1, PruarM.2G007900.t1.p1_1, PruarM.3G288300.t1.p1_1, PruarM.1G038800.t1.p1_1, PruarM.3G125400.t1.p1_1, PruarM.5G257700.t1.p1_1	36596_0_0049bf
OG0000003	OrthoDB_Prunus_armeniaca_Orared	PruarM.2G270000.t1.p1_1, PruarM.2G270800.t1.p1_1	36596_0_002230
