source	target	interaction	directed	reaction_type	reaction_id	source_edge_type	target_edge_type
AT1G78290	AT1G74890	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT1G78290	AT3G57040	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT1G78290	AT5G62920	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT1G78290	AT1G10470	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT1G78290	AT2G41310	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT1G78290	AT2G40670	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT1G78290	AT1G59940	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT4G33950	AT3G56380	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT4G33950	AT3G48100	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT4G33950	AT1G19050	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT4G33950	AT1G74890	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT4G33950	AT3G57040	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT4G33950	AT5G62920	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT4G33950	AT1G10470	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT4G33950	AT2G41310	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT4G33950	AT2G40670	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
AT4G33950	AT1G59940	activation	True	protein activation	rx00570	ACTIVATES	SUBSTRATE
HC-Pro	AT1G68840	inhibition	False	binding/oligomerisation	rx00218	SUBSTRATE	SUBSTRATE
AT1G68840	HC-Pro	inhibition	False	binding/oligomerisation	rx00218	SUBSTRATE	SUBSTRATE
AT1G66410	HC-Pro	binding	False	binding/oligomerisation	rx00219	SUBSTRATE	SUBSTRATE
AT3G01830	HC-Pro	binding	False	binding/oligomerisation	rx00219	SUBSTRATE	SUBSTRATE
AT4G20780	HC-Pro	binding	False	binding/oligomerisation	rx00219	SUBSTRATE	SUBSTRATE
HC-Pro	AT1G66410	binding	False	binding/oligomerisation	rx00219	SUBSTRATE	SUBSTRATE
HC-Pro	AT3G01830	binding	False	binding/oligomerisation	rx00219	SUBSTRATE	SUBSTRATE
HC-Pro	AT4G20780	binding	False	binding/oligomerisation	rx00219	SUBSTRATE	SUBSTRATE
AT1G66410	CML|HC-Pro	activation	True	binding/oligomerisation	rx00219	SUBSTRATE	PRODUCT
AT3G01830	CML|HC-Pro	activation	True	binding/oligomerisation	rx00219	SUBSTRATE	PRODUCT
AT4G20780	CML|HC-Pro	activation	True	binding/oligomerisation	rx00219	SUBSTRATE	PRODUCT
HC-Pro	CML|HC-Pro	activation	True	binding/oligomerisation	rx00219	SUBSTRATE	PRODUCT
CA	AT1G65880	activation	True	catalysis	rx00532	SUBSTRATE	ACTIVATES
AT1G65880	CA-CoA	activation	True	catalysis	rx00532	ACTIVATES	PRODUCT
CA	CA-CoA	activation	True	catalysis	rx00532	SUBSTRATE	PRODUCT
AT3G48090	AT3G52430	binding	False	binding/oligomerisation	rx00087	SUBSTRATE	SUBSTRATE
AT3G52430	AT3G48090	binding	False	binding/oligomerisation	rx00087	SUBSTRATE	SUBSTRATE
AT3G48090	EDS1|PAD4	activation	True	binding/oligomerisation	rx00087	SUBSTRATE	PRODUCT
AT3G52430	EDS1|PAD4	activation	True	binding/oligomerisation	rx00087	SUBSTRATE	PRODUCT
EDS1|PAD4	AT2G43790	binding	False	binding/oligomerisation	rx00090	PRODUCT	SUBSTRATE
EDS1|PAD4	AT3G45640	binding	False	binding/oligomerisation	rx00090	PRODUCT	SUBSTRATE
AT2G43790	EDS1|PAD4	binding	False	binding/oligomerisation	rx00090	SUBSTRATE	PRODUCT
AT3G45640	EDS1|PAD4	binding	False	binding/oligomerisation	rx00090	SUBSTRATE	PRODUCT
EDS1|PAD4	EDS1|MPK3|PAD4	activation	True	binding/oligomerisation	rx00090	PRODUCT	PRODUCT
AT2G43790	EDS1|MPK3|PAD4	activation	True	binding/oligomerisation	rx00090	SUBSTRATE	PRODUCT
AT3G45640	EDS1|MPK3|PAD4	activation	True	binding/oligomerisation	rx00090	SUBSTRATE	PRODUCT
AT1G47710	VPg	inhibition	False	binding/oligomerisation	rx00664	SUBSTRATE	SUBSTRATE
VPg	AT1G47710	inhibition	False	binding/oligomerisation	rx00664	SUBSTRATE	SUBSTRATE
VPg	ATCG00670	inhibition	False	binding/oligomerisation	rx00665	SUBSTRATE	SUBSTRATE
ATCG00670	VPg	inhibition	False	binding/oligomerisation	rx00665	SUBSTRATE	SUBSTRATE
VPg	AT5G54500	inhibition	False	binding/oligomerisation	rx00668	SUBSTRATE	SUBSTRATE
AT5G54500	VPg	inhibition	False	binding/oligomerisation	rx00668	SUBSTRATE	SUBSTRATE
VPg	AT2G43590	inhibition	False	binding/oligomerisation	rx00663	SUBSTRATE	SUBSTRATE
AT2G43590	VPg	inhibition	False	binding/oligomerisation	rx00663	SUBSTRATE	SUBSTRATE
AT3G17880	HC-Pro	inhibition	False	binding/oligomerisation	rx00220	SUBSTRATE	SUBSTRATE
HC-Pro	AT3G17880	inhibition	False	binding/oligomerisation	rx00220	SUBSTRATE	SUBSTRATE
P3	AT1G67090	inhibition	False	binding/oligomerisation	rx00221	SUBSTRATE	SUBSTRATE
P3	AT5G38430	inhibition	False	binding/oligomerisation	rx00221	SUBSTRATE	SUBSTRATE
P3	ATCG00490	inhibition	False	binding/oligomerisation	rx00221	SUBSTRATE	SUBSTRATE
AT1G67090	P3	inhibition	False	binding/oligomerisation	rx00221	SUBSTRATE	SUBSTRATE
AT5G38430	P3	inhibition	False	binding/oligomerisation	rx00221	SUBSTRATE	SUBSTRATE
ATCG00490	P3	inhibition	False	binding/oligomerisation	rx00221	SUBSTRATE	SUBSTRATE
AT1G45249	AT3G15500	activation	True	transcriptional/translational activation	rx00607	PRODUCT	SUBSTRATE
AT3G19290	AT3G15500	activation	True	transcriptional/translational activation	rx00607	PRODUCT	SUBSTRATE
AT1G49720	AT3G15500	activation	True	transcriptional/translational activation	rx00607	PRODUCT	SUBSTRATE
AT4G34000	AT3G15500	activation	True	transcriptional/translational activation	rx00607	PRODUCT	SUBSTRATE
VPg	AT3G07780	inhibition	False	binding/oligomerisation	rx00226	SUBSTRATE	SUBSTRATE
AT3G07780	VPg	inhibition	False	binding/oligomerisation	rx00226	SUBSTRATE	SUBSTRATE
VPg	AT4G00660	inhibition	False	binding/oligomerisation	rx00227	SUBSTRATE	SUBSTRATE
AT4G00660	VPg	inhibition	False	binding/oligomerisation	rx00227	SUBSTRATE	SUBSTRATE
VPg	AT2G32060	inhibition	False	binding/oligomerisation	rx00671	SUBSTRATE	SUBSTRATE
AT2G32060	VPg	inhibition	False	binding/oligomerisation	rx00671	SUBSTRATE	SUBSTRATE
VPg	AT5G57860	inhibition	False	binding/oligomerisation	rx00672	SUBSTRATE	SUBSTRATE
AT5G57860	VPg	inhibition	False	binding/oligomerisation	rx00672	SUBSTRATE	SUBSTRATE
AT1G08450	AT1G04310	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT1G08450	AT1G66340	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT1G08450	AT2G40940	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT1G08450	AT3G04580	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT1G08450	AT3G23150	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT1G09210	AT1G04310	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT1G09210	AT1G66340	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT1G09210	AT2G40940	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT1G09210	AT3G04580	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT1G09210	AT3G23150	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT1G56340	AT1G04310	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT1G56340	AT1G66340	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT1G56340	AT2G40940	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT1G56340	AT3G04580	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT1G56340	AT3G23150	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT1G04310	AT1G08450	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT1G04310	AT1G09210	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT1G04310	AT1G56340	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT1G66340	AT1G08450	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT1G66340	AT1G09210	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT1G66340	AT1G56340	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT2G40940	AT1G08450	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT2G40940	AT1G09210	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT2G40940	AT1G56340	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT3G04580	AT1G08450	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT3G04580	AT1G09210	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT3G04580	AT1G56340	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT3G23150	AT1G08450	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT3G23150	AT1G09210	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT3G23150	AT1G56340	binding	False	binding/oligomerisation	rx00228	SUBSTRATE	SUBSTRATE
AT1G08450	CRT|ETR	activation	True	binding/oligomerisation	rx00228	SUBSTRATE	PRODUCT
AT1G09210	CRT|ETR	activation	True	binding/oligomerisation	rx00228	SUBSTRATE	PRODUCT
AT1G56340	CRT|ETR	activation	True	binding/oligomerisation	rx00228	SUBSTRATE	PRODUCT
AT1G04310	CRT|ETR	activation	True	binding/oligomerisation	rx00228	SUBSTRATE	PRODUCT
AT1G66340	CRT|ETR	activation	True	binding/oligomerisation	rx00228	SUBSTRATE	PRODUCT
AT2G40940	CRT|ETR	activation	True	binding/oligomerisation	rx00228	SUBSTRATE	PRODUCT
AT3G04580	CRT|ETR	activation	True	binding/oligomerisation	rx00228	SUBSTRATE	PRODUCT
AT3G23150	CRT|ETR	activation	True	binding/oligomerisation	rx00228	SUBSTRATE	PRODUCT
AT1G08450	Ca2+	inhibition	False	binding/oligomerisation	rx00194	SUBSTRATE	SUBSTRATE
AT1G09210	Ca2+	inhibition	False	binding/oligomerisation	rx00194	SUBSTRATE	SUBSTRATE
AT1G56340	Ca2+	inhibition	False	binding/oligomerisation	rx00194	SUBSTRATE	SUBSTRATE
Ca2+	AT1G08450	inhibition	False	binding/oligomerisation	rx00194	SUBSTRATE	SUBSTRATE
Ca2+	AT1G09210	inhibition	False	binding/oligomerisation	rx00194	SUBSTRATE	SUBSTRATE
Ca2+	AT1G56340	inhibition	False	binding/oligomerisation	rx00194	SUBSTRATE	SUBSTRATE
HC-Pro	AT1G02500	inhibition	True	protein deactivation	rx00197	SUBSTRATE	PRODUCT
HC-Pro	AT2G36880	inhibition	True	protein deactivation	rx00197	SUBSTRATE	PRODUCT
HC-Pro	AT3G17390	inhibition	True	protein deactivation	rx00197	SUBSTRATE	PRODUCT
HC-Pro	AT4G01850	inhibition	True	protein deactivation	rx00197	SUBSTRATE	PRODUCT
HC-Pro	AT3G23810	inhibition	True	protein deactivation	rx00198	SUBSTRATE	PRODUCT
AT5G51700	AT4G11260	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT5G51700	AT4G23570	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT5G51700	AT5G56010	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT5G51700	AT5G52640	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT5G51700	AT4G24190	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT5G51700	AT3G07770	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT5G51700	AT5G56000	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT5G51700	AT2G04030	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT5G51700	AT5G56030	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT4G11260	AT5G51700	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT4G23570	AT5G51700	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT4G11260	AT5G56010	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT4G11260	AT5G52640	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT4G11260	AT4G24190	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT4G11260	AT3G07770	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT4G11260	AT5G56000	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT4G11260	AT2G04030	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT4G11260	AT5G56030	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT4G23570	AT5G56010	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT4G23570	AT5G52640	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT4G23570	AT4G24190	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT4G23570	AT3G07770	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT4G23570	AT5G56000	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT4G23570	AT2G04030	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT4G23570	AT5G56030	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT5G56010	AT5G51700	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT5G52640	AT5G51700	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT4G24190	AT5G51700	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT3G07770	AT5G51700	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT5G56000	AT5G51700	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT2G04030	AT5G51700	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT5G56030	AT5G51700	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT5G56010	AT4G11260	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT5G56010	AT4G23570	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT5G52640	AT4G11260	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT5G52640	AT4G23570	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT4G24190	AT4G11260	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT4G24190	AT4G23570	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT3G07770	AT4G11260	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT3G07770	AT4G23570	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT5G56000	AT4G11260	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT5G56000	AT4G23570	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT2G04030	AT4G11260	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT2G04030	AT4G23570	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT5G56030	AT4G11260	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT5G56030	AT4G23570	binding	False	binding/oligomerisation	rx00053	SUBSTRATE	SUBSTRATE
AT5G51700	HSP90|RAR1|SGT1	activation	True	binding/oligomerisation	rx00053	SUBSTRATE	PRODUCT
AT4G11260	HSP90|RAR1|SGT1	activation	True	binding/oligomerisation	rx00053	SUBSTRATE	PRODUCT
AT4G23570	HSP90|RAR1|SGT1	activation	True	binding/oligomerisation	rx00053	SUBSTRATE	PRODUCT
AT5G56010	HSP90|RAR1|SGT1	activation	True	binding/oligomerisation	rx00053	SUBSTRATE	PRODUCT
AT5G52640	HSP90|RAR1|SGT1	activation	True	binding/oligomerisation	rx00053	SUBSTRATE	PRODUCT
AT4G24190	HSP90|RAR1|SGT1	activation	True	binding/oligomerisation	rx00053	SUBSTRATE	PRODUCT
AT3G07770	HSP90|RAR1|SGT1	activation	True	binding/oligomerisation	rx00053	SUBSTRATE	PRODUCT
AT5G56000	HSP90|RAR1|SGT1	activation	True	binding/oligomerisation	rx00053	SUBSTRATE	PRODUCT
AT2G04030	HSP90|RAR1|SGT1	activation	True	binding/oligomerisation	rx00053	SUBSTRATE	PRODUCT
AT5G56030	HSP90|RAR1|SGT1	activation	True	binding/oligomerisation	rx00053	SUBSTRATE	PRODUCT
VPg	AT1G75040	inhibition	False	binding/oligomerisation	rx00673	SUBSTRATE	SUBSTRATE
AT1G75040	VPg	inhibition	False	binding/oligomerisation	rx00673	SUBSTRATE	SUBSTRATE
AT1G48410	HC-Pro	inhibition	False	binding/oligomerisation	rx00199	SUBSTRATE	SUBSTRATE
HC-Pro	AT1G48410	inhibition	False	binding/oligomerisation	rx00199	SUBSTRATE	SUBSTRATE
EDS1|PAD4	AT5G14930	binding	False	binding/oligomerisation	rx00054	PRODUCT	SUBSTRATE
EDS1|PAD4	AT5G45890	binding	False	binding/oligomerisation	rx00054	PRODUCT	SUBSTRATE
AT5G14930	EDS1|PAD4	binding	False	binding/oligomerisation	rx00054	SUBSTRATE	PRODUCT
AT5G45890	EDS1|PAD4	binding	False	binding/oligomerisation	rx00054	SUBSTRATE	PRODUCT
EDS1|PAD4	EDS1|PAD4|SAG	activation	True	binding/oligomerisation	rx00054	PRODUCT	PRODUCT
AT5G14930	EDS1|PAD4|SAG	activation	True	binding/oligomerisation	rx00054	SUBSTRATE	PRODUCT
AT5G45890	EDS1|PAD4|SAG	activation	True	binding/oligomerisation	rx00054	SUBSTRATE	PRODUCT
AT1G48410	CI	inhibition	False	binding/oligomerisation	rx00200	SUBSTRATE	SUBSTRATE
CI	AT1G48410	inhibition	False	binding/oligomerisation	rx00200	SUBSTRATE	SUBSTRATE
CP	AT1G10350	inhibition	False	binding/oligomerisation	rx00201	SUBSTRATE	SUBSTRATE
CP	AT3G08910	inhibition	False	binding/oligomerisation	rx00201	SUBSTRATE	SUBSTRATE
AT1G10350	CP	inhibition	False	binding/oligomerisation	rx00201	SUBSTRATE	SUBSTRATE
AT3G08910	CP	inhibition	False	binding/oligomerisation	rx00201	SUBSTRATE	SUBSTRATE
TORC1	AT3G49590	inhibition	True	protein deactivation	rx00546	ACTIVATES	PRODUCT
AT4G15560	HC-Pro	inhibition	False	binding/oligomerisation	rx00204	SUBSTRATE	SUBSTRATE
HC-Pro	AT4G15560	inhibition	False	binding/oligomerisation	rx00204	SUBSTRATE	SUBSTRATE
ATCG00480	HC-Pro	inhibition	False	binding/oligomerisation	rx00205	SUBSTRATE	SUBSTRATE
HC-Pro	ATCG00480	inhibition	False	binding/oligomerisation	rx00205	SUBSTRATE	SUBSTRATE
AT3G20600	AT3G25070	binding	False	binding/oligomerisation	rx00055	SUBSTRATE	SUBSTRATE
AT3G25070	AT3G20600	binding	False	binding/oligomerisation	rx00055	SUBSTRATE	SUBSTRATE
AT3G20600	NDR1|RIN4	activation	True	binding/oligomerisation	rx00055	SUBSTRATE	PRODUCT
AT3G25070	NDR1|RIN4	activation	True	binding/oligomerisation	rx00055	SUBSTRATE	PRODUCT
AT5G24020	HC-Pro	inhibition	False	binding/oligomerisation	rx00207	SUBSTRATE	SUBSTRATE
HC-Pro	AT5G24020	inhibition	False	binding/oligomerisation	rx00207	SUBSTRATE	SUBSTRATE
AT2G05840	HC-Pro	inhibition	False	binding/oligomerisation	rx00211	SUBSTRATE	SUBSTRATE
HC-Pro	AT2G05840	inhibition	False	binding/oligomerisation	rx00211	SUBSTRATE	SUBSTRATE
HC-Pro	AT5G40580	inhibition	False	binding/oligomerisation	rx00212	SUBSTRATE	SUBSTRATE
AT5G40580	HC-Pro	inhibition	False	binding/oligomerisation	rx00212	SUBSTRATE	SUBSTRATE
AT1G64280	AT3G12250	binding	False	binding/oligomerisation	rx00099	SUBSTRATE	SUBSTRATE
AT1G64280	AT5G06960	binding	False	binding/oligomerisation	rx00099	SUBSTRATE	SUBSTRATE
AT1G64280	AT5G06950	binding	False	binding/oligomerisation	rx00099	SUBSTRATE	SUBSTRATE
AT3G12250	AT1G64280	binding	False	binding/oligomerisation	rx00099	SUBSTRATE	SUBSTRATE
AT5G06960	AT1G64280	binding	False	binding/oligomerisation	rx00099	SUBSTRATE	SUBSTRATE
AT5G06950	AT1G64280	binding	False	binding/oligomerisation	rx00099	SUBSTRATE	SUBSTRATE
AT1G64280	NPR1|TGA2,5,6	activation	True	binding/oligomerisation	rx00099	SUBSTRATE	PRODUCT
AT3G12250	NPR1|TGA2,5,6	activation	True	binding/oligomerisation	rx00099	SUBSTRATE	PRODUCT
AT5G06960	NPR1|TGA2,5,6	activation	True	binding/oligomerisation	rx00099	SUBSTRATE	PRODUCT
AT5G06950	NPR1|TGA2,5,6	activation	True	binding/oligomerisation	rx00099	SUBSTRATE	PRODUCT
MeCLA	AT3G03990	activation	True	protein activation	rx00903	ACTIVATES	PRODUCT
Rx[unknown]	AT3G63130	binding	False	binding/oligomerisation	rx00057	SUBSTRATE	SUBSTRATE
AT3G63130	Rx[unknown]	binding	False	binding/oligomerisation	rx00057	SUBSTRATE	SUBSTRATE
Rx[unknown]	RANGAP|Rx	activation	True	binding/oligomerisation	rx00057	SUBSTRATE	PRODUCT
AT3G63130	RANGAP|Rx	activation	True	binding/oligomerisation	rx00057	SUBSTRATE	PRODUCT
GPAphid2[unknown]	AT3G63130	binding	False	binding/oligomerisation	rx00059	SUBSTRATE	SUBSTRATE
AT3G63130	GPAphid2[unknown]	binding	False	binding/oligomerisation	rx00059	SUBSTRATE	SUBSTRATE
GPAphid2[unknown]	GPAphid2|RANGAP	activation	True	binding/oligomerisation	rx00059	SUBSTRATE	PRODUCT
AT3G63130	GPAphid2|RANGAP	activation	True	binding/oligomerisation	rx00059	SUBSTRATE	PRODUCT
AT1G45249	AT2G45660	activation	True	transcriptional/translational activation	rx00571	PRODUCT	PRODUCT
AT3G19290	AT2G45660	activation	True	transcriptional/translational activation	rx00571	PRODUCT	PRODUCT
AT1G49720	AT2G45660	activation	True	transcriptional/translational activation	rx00571	PRODUCT	PRODUCT
AT4G34000	AT2G45660	activation	True	transcriptional/translational activation	rx00571	PRODUCT	PRODUCT
AT1G13060	HC-Pro	inhibition	False	binding/oligomerisation	rx00213	SUBSTRATE	SUBSTRATE
HC-Pro	AT1G13060	inhibition	False	binding/oligomerisation	rx00213	SUBSTRATE	SUBSTRATE
AT3G07780	AT2G24570	binding	False	binding/oligomerisation	rx00229	SUBSTRATE	SUBSTRATE
AT2G24570	AT3G07780	binding	False	binding/oligomerisation	rx00229	SUBSTRATE	SUBSTRATE
