query_id	subject_id	perc_identity	num_ident_matches	alig_length	mismatches	gap_openings	n_gaps	pos_match	ppos	q_start	q_end	q_len	qcov	qcovhsp	s_start	s_end	s_len	evalue	bit_score	score_raw
AT1G01560.2	PaF106G0500019745.01.P01	83.333	300	360	60	0	0	331	91.94	10	369	370	97	97	13	372	376	0	634	1635
AT1G01580.2	PaF106G0200009054.01.P01	55.307	198	358	156	4	4	276	77.09	446	803	804	45	45	1	354	354	8.82e-143	424	1090
AT1G01580.2	PaF106G0200010546.01.P01	54.124	210	388	175	3	3	297	76.55	328	715	804	48	48	1	385	400	1.51e-145	433	1113
AT1G01590.1	PaF106G0200010546.01.P01	55.673	211	379	160	4	8	293	77.31	241	618	705	54	54	1	372	400	4.74e-141	418	1075
AT1G01600.1	PaF106G0200009014.01.P01	78.075	292	374	78	3	4	333	89.04	1	374	555	67	67	1	370	374	0	612	1577
AT1G01600.1	PaF106G0500019717.01.P01	72.605	379	522	141	2	2	444	85.06	1	522	555	94	94	1	520	531	0	808	2087
AT1G01610.1	PaF106G0200009009.01.P01	78.728	396	503	102	3	5	441	87.67	1	500	504	99	99	1	501	502	0	775	2002
AT1G01620.1	PaF106G0500019704.01.P02	90.877	259	285	26	0	0	269	94.39	1	285	287	99	99	1	285	286	0	531	1368
AT1G01630.1	PaF106G0100002617.01.P02	71.861	166	231	63	1	2	196	84.85	24	254	256	90	90	33	261	262	5.41e-128	363	931
AT1G01650.1	PaF106G0200009005.01.P01	74.573	393	527	133	1	1	443	84.06	13	539	541	97	97	10	535	535	0	815	2106
AT1G01660.2	PaF106G0200010515.01.P03	31.361	106	338	178	7	54	178	52.66	9	304	570	64	52	51	376	819	5.53e-40	155	391
AT1G01660.2	PaF106G0200010515.01.P03	69.697	46	66	20	0	0	56	84.85	499	564	570	64	12	750	815	819	2.09e-26	114	284
AT1G01660.2	PaF106G0600022312.01.P01	70	49	70	21	0	0	58	82.86	496	565	570	12	12	746	815	818	1.76e-27	117	293
AT1G01670.1	PaF106G0200010244.01.P01	58.209	39	67	27	1	1	46	68.66	294	360	366	18	18	740	805	810	9.38e-19	87.4	215
AT1G01690.2	PaF106G0200008999.01.P01	44.565	205	460	207	13	48	279	60.65	1	450	451	99	99	1	422	422	3.84e-99	303	775
AT1G01700.2	PaF106G0200008995.01.P01	77.451	79	102	23	0	0	89	87.25	230	331	373	27	27	4	105	260	8.97e-51	170	430
AT1G01710.1	PaF106G0200008988.01.P01	70.629	303	429	123	2	3	359	83.68	1	427	428	99	99	1	428	428	0	635	1638
AT1G01720.1	PaF106G0100005713.01.P02	69.667	209	300	68	5	23	234	78	5	289	290	98	98	6	297	297	6.86e-147	413	1062
AT1G01720.1	PaF106G0400015969.01.P01	68.072	113	166	43	2	10	129	77.71	6	161	290	54	54	27	192	371	8.72e-77	238	606
AT1G01730.1	PaF106G0200008971.01.P01	38.298	72	188	96	6	20	113	60.11	39	208	225	76	76	2	187	194	4.87e-35	122	307
AT1G01730.1	PaF106G0200010497.01.P01	38.889	63	162	73	5	26	92	56.79	69	207	225	62	62	2	160	172	1.46e-26	100	249
AT1G01750.1	PaF106G0200008940.01.P01	83.333	115	138	23	0	0	129	93.48	1	138	141	98	98	1	138	139	2.24e-86	248	632
AT1G01760.2	PaF106G0200008936.01.P01	57.623	223	387	154	3	10	286	73.9	17	401	420	92	92	21	399	432	1.03e-150	434	1115
AT1G01770.1	PaF106G0200008926.01.P06	70.223	441	628	177	5	10	509	81.05	12	631	633	98	98	13	638	650	0	878	2268
AT1G01780.1	PaF106G0200008927.01.P01	76.536	137	179	40	1	2	156	87.15	1	177	206	86	86	1	179	216	1.11e-103	297	761
AT1G01790.1	PaF106G0200008913.01.P01	69.399	855	1232	320	17	57	982	79.71	1	1188	1194	99	99	1	1219	1223	0	1508	3903
AT1G01800.1	PaF106G0100002003.01.P01	58.596	167	285	112	3	6	222	77.89	7	287	296	95	95	101	383	407	6.37e-119	347	889
AT1G01800.1	PaF106G0200008897.01.P02	61.433	180	293	108	3	5	228	77.82	5	294	296	98	98	7	297	298	1.11e-128	367	943
AT1G01800.1	PaF106G0200008899.01.P01	59.596	177	297	115	3	5	227	76.43	2	295	296	99	99	4	298	298	6.01e-125	358	919
AT1G01800.1	PaF106G0200008900.01.P01	59.864	176	294	111	4	7	227	77.21	5	294	296	98	98	7	297	313	1.01e-122	353	905
AT1G01800.1	PaF106G0400014819.01.P01	59.272	179	302	113	4	10	229	75.83	2	295	296	99	99	4	303	303	1.69e-124	357	916
AT1G01800.1	PaF106G0400015367.01.P01	59.893	112	187	75	0	0	148	79.14	107	293	296	63	63	7	193	489	2.1e-75	238	607
AT1G01820.1	PaF106G0200008825.01.P01	81.034	47	58	11	0	0	53	91.38	1	58	236	25	25	1	58	68	1.6e-28	102	254
AT1G01820.1	PaF106G0200008838.01.P01	81.034	47	58	11	0	0	53	91.38	1	58	236	25	25	1	58	68	1.6e-28	102	254
AT1G01820.1	PaF106G0200008851.01.P02	83.262	194	233	39	0	0	216	92.7	1	233	236	99	99	1	233	235	1.73e-139	390	1001
AT1G01840.1	PaF106G0200008815.01.P01	45	72	160	70	6	18	95	59.38	7	152	153	95	95	18	173	173	7.11e-29	103	258
AT1G01860.1	PaF106G0200008891.01.P01	69.302	149	215	63	1	3	173	80.47	131	342	344	62	62	1	215	216	2.49e-101	297	760
AT1G01880.3	PaF106G0200008811.01.P01	58.374	359	615	234	9	22	444	72.2	1	598	600	99	99	18	627	628	0	694	1791
AT1G01900.1	PaF106G0200008788.01.P01	64.754	158	244	85	1	1	201	82.38	167	410	775	31	31	1	243	249	1.49e-112	341	875
AT1G01900.1	PaF106G0200008789.01.P01	59.064	101	171	68	2	2	120	70.18	553	722	775	22	22	1	170	170	6.36e-61	202	514
AT1G01900.1	PaF106G0500019487.01.P01	46.381	314	677	334	12	29	423	62.48	72	743	775	87	87	76	728	734	0	578	1490
AT1G01910.2	PaF106G0200008799.01.P01	82.9	223	269	45	1	1	251	93.31	85	353	354	76	76	1	268	296	7.39e-167	466	1200
AT1G01920.3	PaF106G0200008805.01.P01	65.806	102	155	53	0	0	129	83.23	280	434	435	36	36	11	165	261	1.92e-70	223	568
AT1G01940.1	PaF106G0200008734.01.P01	96.25	154	160	6	0	0	157	98.12	1	160	161	99	99	1	160	160	6.01e-116	324	831
AT1G01950.1	PaF106G0200008729.01.P02	76.95	671	872	176	9	25	755	86.58	5	857	895	95	95	2	867	895	0	1293	3345
AT1G01960.1	PaF106G0200008725.01.P01	79.265	1208	1524	294	8	22	1352	88.71	1	1508	1751	86	86	1	1518	1524	0	2451	6353
AT1G01970.1	PaF106G0200008723.01.P01	70.787	126	178	52	0	0	152	85.39	126	303	410	43	43	1	178	179	1.28e-88	266	679
AT1G01980.1	PaF106G0400017133.01.P01	67.918	199	293	84	4	10	231	78.84	131	420	542	54	54	1	286	289	4.36e-121	357	917
AT1G02000.1	PaF106G0200008685.01.P01	83.557	249	298	44	3	5	268	89.93	1	295	435	68	68	4	299	304	0	511	1315
AT1G02000.1	PaF106G0500019417.01.P01	75.467	323	428	103	2	2	370	86.45	2	429	435	98	98	6	431	435	0	668	1724
AT1G02010.1	PaF106G0200008700.01.P03	73.973	486	657	158	6	13	564	85.84	13	660	674	96	96	12	664	671	0	988	2555
AT1G02020.1	PaF106G0200008625.01.P01	64.829	341	526	167	8	18	402	76.43	63	578	643	80	80	74	591	593	0	671	1731
AT1G02030.1	PaF106G0200008555.01.P01	43.273	119	275	98	10	58	159	57.82	44	263	268	97	82	102	373	391	9.57e-47	160	404
AT1G02030.1	PaF106G0200008555.01.P01	63.043	29	46	17	0	0	35	76.09	3	48	268	97	17	2	47	391	3.12e-14	71.6	174
AT1G02050.1	PaF106G0200008376.01.P01	80.186	259	323	61	2	3	288	89.16	7	328	396	81	81	802	1122	1126	0	540	1390
AT1G02060.1	PaF106G0200008376.01.P01	62.593	420	671	240	3	11	529	78.84	31	697	711	94	94	62	725	1126	0	840	2169
AT1G02065.1	PaF106G0100001257.01.P02	52.419	65	124	48	2	11	78	62.9	147	268	334	37	37	109	223	923	3.21e-33	129	325
AT1G02065.1	PaF106G0200008532.01.P01	46.407	155	334	142	9	37	195	58.38	1	317	334	95	95	1	314	327	3.36e-84	257	656
AT1G02065.1	PaF106G0400016074.01.P01	72.368	55	76	21	0	0	60	78.95	186	261	334	23	23	64	139	162	1.98e-33	120	302
AT1G02065.1	PaF106G0500020958.01.P02	70.13	54	77	23	0	0	61	79.22	185	261	334	23	23	174	250	559	1.09e-31	124	311
AT1G02065.1	PaF106G0700028262.01.P01	72.368	55	76	21	0	0	58	76.32	186	261	334	23	23	75	150	380	2.67e-33	126	316
AT1G02070.1	PaF106G0200008536.01.P01	54.676	76	139	53	4	10	91	65.47	1	131	132	99	99	4	140	140	3.71e-44	140	354
AT1G02080.1	PaF106G0200008546.01.P03	61.26	1167	1905	655	23	83	1428	74.96	60	1922	2432	77	77	9	1872	1898	0	2237	5798
AT1G02090.1	PaF106G0200008471.01.P02	75.099	190	253	63	0	0	219	86.56	1	253	261	97	97	1	253	267	1.68e-142	400	1027
AT1G02100.1	PaF106G0200008487.01.P04	74.26	251	338	81	1	6	285	84.32	1	332	333	99	99	5	342	350	0	531	1367
AT1G02120.2	PaF106G0200008496.01.P01	53.455	147	275	114	4	14	180	65.45	172	436	474	56	56	6	276	381	1.46e-90	280	716
AT1G02130.1	PaF106G0200010228.01.P01	89.655	182	203	20	1	1	195	96.06	1	203	204	99	99	1	202	202	1.1e-138	385	989
AT1G02130.1	PaF106G0500019182.01.P01	88.67	180	203	22	1	1	194	95.57	1	203	204	99	99	1	202	202	1.22e-137	382	982
AT1G02140.1	PaF106G0200008511.01.P01	88.079	133	151	17	1	1	142	94.04	1	150	151	99	99	1	151	151	7.78e-98	278	710
AT1G02140.1	PaF106G0200008514.01.P01	86.207	50	58	8	0	0	54	93.1	74	131	151	38	38	43	100	102	1.87e-32	110	276
AT1G02145.4	PaF106G0200008371.01.P03	70.504	196	278	82	0	0	230	82.73	1	278	454	61	61	43	320	353	6.77e-134	389	999
AT1G02150.1	PaF106G0200008369.01.P01	63.548	326	513	167	3	20	412	80.31	12	523	525	98	98	33	526	546	0	687	1772
AT1G02160.1	PaF106G0200008336.01.P01	81.69	58	71	13	0	0	64	90.14	1	71	72	99	99	1	71	71	2.05e-38	121	304
AT1G02170.1	PaF106G0200008328.01.P01	73.196	284	388	69	3	35	308	79.38	14	367	368	96	96	3	389	389	0	555	1431
AT1G02170.1	PaF106G0200010195.01.P01	76.389	275	360	75	4	10	310	86.11	14	367	368	96	96	3	358	358	0	550	1417
AT1G02170.1	PaF106G0200010196.01.P01	72.917	35	48	13	0	0	41	85.42	80	127	368	13	13	91	138	138	1.34e-18	80.9	198
AT1G02180.1	PaF106G0200008300.01.P01	60.287	126	209	82	1	1	158	75.6	17	224	227	92	92	19	227	229	3.36e-90	265	676
AT1G02205.2	PaF106G0200008262.01.P01	65.971	411	623	204	4	8	512	82.18	1	622	626	99	99	1	616	623	0	842	2175
AT1G02205.2	PaF106G0800031870.01.P01	63.023	392	622	224	3	6	494	79.42	1	622	626	99	99	1	616	623	0	826	2134
AT1G02205.2	PaF106G0800031874.01.P01	65.971	411	623	204	4	8	512	82.18	1	622	626	99	99	1	616	623	0	842	2175
AT1G02230.1	PaF106G0200009383.01.P01	49.618	65	131	54	5	12	85	64.89	4	131	360	36	36	18	139	494	1.68e-32	126	317
AT1G02260.1	PaF106G0200010523.01.P01	66.531	326	490	107	8	57	378	77.14	1	438	503	87	87	1	485	509	0	619	1597
AT1G02270.1	PaF106G0200009386.01.P01	65.429	229	350	118	2	3	280	80	136	484	485	72	72	1	348	350	2.33e-173	491	1263
AT1G02300.1	PaF106G0300014620.01.P01	71.359	147	206	59	0	0	171	83.01	170	375	380	54	54	1	206	211	3.13e-114	331	848
AT1G02305.1	PaF106G0300014620.01.P01	75.243	155	206	51	0	0	175	84.95	153	358	363	57	57	1	206	211	3.8e-120	345	885
AT1G02330.1	PaF106G0300014617.01.P03	60.586	186	307	79	7	42	218	71.01	6	279	280	98	98	15	312	312	5.78e-113	327	839
AT1G02335.1	PaF106G0300014615.01.P01	65.854	135	205	68	1	2	167	81.46	17	219	220	92	92	18	222	222	5.9e-99	286	732
AT1G02340.1	PaF106G0300012457.01.P03	52.381	33	63	28	2	2	48	76.19	141	202	293	21	21	355	416	565	3.76e-12	66.2	160
AT1G02360.3	PaF106G0300014599.01.P01	65.038	173	266	92	1	1	215	80.83	59	323	325	82	82	59	324	324	2.12e-139	397	1019
AT1G02370.1	PaF106G0300014508.01.P01	53.561	188	351	160	2	3	249	70.94	188	537	538	65	65	2	350	351	5.09e-126	372	955
AT1G02380.1	PaF106G0300014529.01.P04	35.519	65	183	89	5	29	100	54.64	8	164	232	68	68	5	184	220	5.7e-12	62.8	151
AT1G02400.1	PaF106G0300014547.01.P01	59.104	198	335	123	4	14	241	71.94	1	327	330	99	99	1	329	352	2.25e-139	398	1023
AT1G02410.1	PaF106G0300011277.01.P01	66.421	180	271	88	2	3	201	74.17	1	268	288	93	93	1	271	271	2.94e-127	362	930
AT1G02410.1	PaF106G0700029104.01.P01	88.136	156	177	21	0	0	165	93.22	93	269	288	61	61	1	177	177	3.72e-119	338	868
AT1G02420.1	PaF106G0100006322.01.P01	72.549	74	102	28	0	0	88	86.27	260	361	492	21	21	5	106	107	7.63e-49	163	412
AT1G02420.1	PaF106G0100006339.01.P02	72.622	313	431	117	1	1	374	86.77	40	470	492	88	88	39	468	472	0	681	1756
AT1G02460.1	PaF106G0300014557.01.P01	73.898	218	295	75	2	2	257	87.12	194	488	492	60	60	20	312	312	8.22e-163	462	1190
AT1G02460.1	PaF106G0600025193.01.P01	64.516	280	434	139	4	15	350	80.65	55	488	492	88	88	44	462	462	0	592	1527
AT1G02475.1	PaF106G0300014554.01.P01	73.51	111	151	40	0	0	135	89.4	68	218	220	69	69	62	212	219	9.59e-85	250	638
AT1G02500.1	PaF106G0100001261.01.P01	94.656	372	393	21	0	0	380	96.69	1	393	394	99	99	1	393	393	0	746	1925
AT1G02500.1	PaF106G0300014577.01.P01	94.148	370	393	23	0	0	381	96.95	1	393	394	99	99	1	393	393	0	745	1923
AT1G02500.1	PaF106G0600025178.01.P01	92.347	362	392	27	1	3	373	95.15	1	392	394	99	99	1	389	390	0	719	1857
AT1G02520.1	PaF106G0100001222.01.P01	76.268	376	493	117	0	0	437	88.64	58	550	1279	39	39	1	493	497	0	778	2008
AT1G02520.1	PaF106G0100001223.01.P01	78.189	380	486	104	1	2	434	89.3	788	1273	1279	38	38	1	484	1745	0	713	1841
AT1G02520.1	PaF106G0100001225.01.P01	72.082	630	874	230	4	14	731	83.64	416	1278	1279	67	67	32	902	902	0	1214	3142
AT1G02520.1	PaF106G0100001230.01.P01	71.727	926	1291	333	6	32	1083	83.89	2	1278	1279	99	99	21	1293	1293	0	1795	4648
AT1G02520.1	PaF106G0100001231.01.P01	71.761	925	1289	335	7	29	1076	83.48	2	1278	1279	99	99	21	1292	1292	0	1788	4631
AT1G02520.1	PaF106G0300013186.01.P01	71.568	662	925	246	6	17	777	84	354	1277	1279	72	72	1	909	911	0	1330	3443
AT1G02520.1	PaF106G0300013187.01.P01	70.35	885	1258	355	5	18	1042	82.83	26	1278	1279	98	98	5	1249	1250	0	1796	4652
AT1G02520.1	PaF106G0300014588.01.P02	73.011	725	993	257	4	11	850	85.6	58	1039	1279	77	77	1	993	1008	0	1444	3738
AT1G02530.2	PaF106G0100001222.01.P01	75.051	370	493	123	0	0	433	87.83	45	537	971	51	51	1	493	497	0	763	1970
AT1G02530.2	PaF106G0300014588.01.P02	70.708	659	932	262	5	11	773	82.94	45	969	971	95	95	1	928	1008	0	1313	3397
AT1G02560.1	PaF106G0800029339.01.P01	85.333	256	300	39	3	5	270	90	1	298	299	99	99	1	297	300	0	516	1328
AT1G02570.1	PaF106G0800029337.01.P01	44.828	91	203	101	4	11	126	62.07	63	259	279	71	71	86	283	303	2.43e-51	170	430
AT1G02610.1	PaF106G0800029289.01.P02	51.502	120	233	97	7	16	160	68.67	1	219	222	99	99	1	231	234	1.68e-70	214	546
AT1G02630.1	PaF106G0700026227.01.P01	67.609	263	389	117	3	9	322	82.78	10	389	390	97	97	11	399	399	0	540	1392
AT1G02640.1	PaF106G0800029294.01.P01	70.876	550	776	203	6	23	642	82.73	11	763	769	98	98	9	784	784	0	1145	2962
AT1G02660.1	PaF106G0800029298.01.P01	55.212	429	777	272	19	76	533	68.6	1	713	714	99	99	1	765	765	0	689	1777
AT1G02680.1	PaF106G0200007230.01.P01	73.016	92	126	27	2	7	107	84.92	3	124	127	96	96	2	124	150	1.52e-64	192	488
AT1G02720.1	PaF106G0800029314.01.P02	72.222	273	378	84	5	21	306	80.95	1	360	362	99	99	1	375	376	0	552	1423
AT1G02780.1	PaF106G0100001489.01.P01	86.341	177	205	28	0	0	189	92.2	1	205	215	95	95	1	205	207	1.39e-116	330	846
AT1G02780.1	PaF106G0800029346.01.P01	93.548	174	186	12	0	0	183	98.39	1	186	215	87	87	1	186	214	1.57e-116	330	846
AT1G02790.1	PaF106G0800029353.01.P01	45.576	170	373	181	5	22	236	63.27	64	420	423	84	84	116	482	483	6.27e-115	344	883
AT1G02800.1	PaF106G0500020052.01.P01	66.904	188	281	91	2	2	223	79.36	42	321	502	56	56	31	310	379	2.8e-130	383	983
AT1G02810.1	PaF106G0100006093.01.P01	77.13	172	223	51	0	0	193	86.55	356	578	580	38	38	1	223	223	9.25e-129	375	964
AT1G02810.1	PaF106G0800029359.01.P01	70.526	335	475	115	6	25	389	81.89	104	578	580	82	82	1	450	450	0	687	1774
AT1G02816.1	PaF106G0800029366.01.P01	64.151	102	159	52	2	5	121	76.1	13	166	167	92	92	10	168	168	4.56e-70	209	531
AT1G02840.1	PaF106G0600025358.01.P02	58.621	153	261	90	3	18	178	68.2	1	252	304	83	83	1	252	295	6.03e-90	269	688
AT1G02840.1	PaF106G0800029400.01.P05	74.372	148	199	38	3	13	164	82.41	1	196	304	64	64	1	189	316	3.27e-91	273	699
AT1G02850.1	PaF106G0400016280.01.P02	64.865	24	37	13	0	0	31	83.78	27	63	471	8	8	47	83	125	8.31e-12	62	149
AT1G02860.2	PaF106G0800029407.01.P01	66.172	223	337	92	7	22	267	79.23	1	333	334	99	99	1	319	319	2.01e-151	427	1099
AT1G02870.1	PaF106G0800029408.01.P02	59.33	124	209	59	5	26	155	74.16	1	192	194	99	99	1	200	201	2.89e-85	249	637
AT1G02880.2	PaF106G0800029425.01.P01	70.079	178	254	74	1	2	211	83.07	1	254	265	96	96	1	252	253	3.78e-132	373	958
AT1G02890.1	PaF106G0800029426.01.P03	62.773	806	1284	423	20	55	960	74.77	1	1246	1247	99	99	1	1267	1267	0	1524	3947
AT1G02910.1	PaF106G0800029442.01.P03	73.624	321	436	99	3	16	368	84.4	24	453	454	95	95	19	444	444	0	644	1661
AT1G02920.1	PaF106G0800029453.01.P02	63.636	133	209	76	0	0	161	77.03	1	209	210	99	99	1	209	213	1.17e-95	277	708
AT1G02920.1	PaF106G0800029455.01.P01	63.158	132	209	77	0	0	159	76.08	1	209	210	99	99	40	248	252	1.06e-93	273	699
AT1G02930.1	PaF106G0800029453.01.P02	63.158	132	209	76	1	1	161	77.03	1	208	209	99	99	1	209	213	1.78e-95	276	707
AT1G02960.6	PaF106G0800029459.01.P04	28.715	114	397	214	12	69	177	44.58	11	385	388	97	97	15	364	443	5.16e-11	63.5	153
AT1G02970.1	PaF106G0800029462.01.P01	52.191	131	251	89	3	31	159	63.35	153	374	501	44	44	7	255	256	3.23e-81	253	645
AT1G02990.4	PaF106G0800029470.01.P01	54.196	155	286	123	6	8	199	69.58	997	1278	1279	50	22	1240	1521	1521	8.46e-75	273	698
AT1G02990.4	PaF106G0800029470.01.P01	29.873	118	395	226	16	51	188	47.59	170	522	1279	50	28	16	401	1521	1.99e-18	91.7	226
AT1G03000.1	PaF106G0800029471.01.P01	71.408	492	689	192	5	5	572	83.02	253	938	942	73	73	1	687	690	0	997	2577
AT1G03010.1	PaF106G0800029477.01.P01	73.832	474	642	150	8	18	550	85.67	1	634	635	99	99	1	632	632	0	960	2481
AT1G03020.1	PaF106G0800029480.01.P01	65.686	67	102	35	0	0	86	84.31	1	102	103	99	99	1	102	106	7.81e-49	150	379
AT1G03030.1	PaF106G0800029756.01.P03	62.3	195	313	103	5	15	247	78.91	1	300	302	99	99	1	311	312	7.89e-140	397	1019
AT1G03050.1	PaF106G0100006473.01.P01	62.007	377	608	210	10	21	469	77.14	1	599	600	99	99	1	596	596	0	725	1872
